datetime,test case,p,mesh family,fine m,solvers m,coarse m,solver,random rhs,solution warmup steps,solution measurement steps,solution repetitions,exception,residual norm,metadata,setup metadata,solve times,matrix and DOF map copy times,matrix permute times,solver setup times,rhs copy and permute times,solution permute and copy times
2025-12-11T12:43:27.198507+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,S10,S10,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,"CUDA out of memory. Tried to allocate 18.00 GiB. GPU 0 has a total capacity of 79.25 GiB of which 7.31 GiB is free. Process 2868647 has 71.93 GiB memory in use. Of the allocated memory 70.51 GiB is allocated by PyTorch, and 153.09 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,,,,,,,
2025-12-11T12:43:37.146983+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,S10,S10,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,"CUDA out of memory. Tried to allocate 36.00 GiB. GPU 0 has a total capacity of 79.25 GiB of which 25.60 GiB is free. Process 2868647 has 53.64 GiB memory in use. Of the allocated memory 51.41 GiB is allocated by PyTorch, and 749.11 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,,,,,,,
2025-12-11T12:44:21.513518+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,S11,S10,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,,2.686509013042238e-11,"{'iterations': 84, 'residual norms': [0.027077948860412045, 8.147330382911267, 7.2728537184495465, 10.37451231063824, 5.4636256723167085, 3.207004528727288, 3.1015436365085143, 1.439580716710229, 1.1191151438055342, 0.5563936790961819, 0.32058570104014944, 0.12914467154118142, 0.0910082279594836, 0.04335977429007715, 0.017008540359279685, 0.011077592808834932, 0.011951048398044528, 0.011638525505457869, 0.00939504848847317, 0.008144056261778915, 0.004893251096277699, 0.0028102886092324906, 0.0033579491657775955, 0.002991187919088423, 0.0019585789450881513, 0.0014225479269065141, 0.0007221494012265066, 0.00038624557388513024, 0.0003841646318795703, 0.00031740567467092204, 0.00023413087157796958, 0.00012109321013233941, 0.0001010742511660101, 7.802762171313173e-05, 5.767527044091216e-05, 4.7073186138813715e-05, 3.5927645852514797e-05, 3.5634904239224145e-05, 3.58065124461981e-05, 1.862153846506538e-05, 1.0353670241932791e-05, 7.144438592658535e-06, 4.9271758394897495e-06, 4.6907766783285145e-06, 3.8842013333761585e-06, 2.458454552473209e-06, 1.2380366897776087e-06, 7.768723835700909e-07, 5.9401644474049e-07, 7.52966286960481e-07, 4.854653145462418e-07, 3.242161922051812e-07, 3.0057482909395797e-07, 2.790438877362727e-07, 2.0087641350872086e-07, 1.3390715437231393e-07, 8.315515141585765e-08, 7.66143170622672e-08, 5.339788445400375e-08, 4.296246770361597e-08, 3.747353757125083e-08, 1.9346629287505093e-08, 1.2240627442298687e-08, 8.840443102191442e-09, 8.177256326343213e-09, 6.659046571453856e-09, 5.041973966692488e-09, 3.7833401397176015e-09, 2.66619925294605e-09, 1.7088411196759858e-09, 1.4227199914951635e-09, 1.5500478536412937e-09, 1.322734122845683e-09, 8.093857294471512e-10, 5.567169770317347e-10, 4.386787804564131e-10, 3.6570968861118654e-10, 2.3690393164186207e-10, 1.3912515012803706e-10, 9.595029782917785e-11, 6.404256404571715e-11, 4.0025095846162e-11, 3.733882628441424e-11, 2.9033220598348392e-11, 2.5013930681648924e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[6617.533203125, 2547.80908203125, 2551.950927734375, 2551.586181640625, 2551.38720703125, 2548.0126953125, 2553.016357421875, 2547.934326171875, 2548.327392578125, 2553.590576171875]",[2526.265380859375],[3038.561279296875],[4376.396484375],[510.8062438964844],[408.0047912597656]
2025-12-11T12:44:57.751374+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,S11,S10,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,,2.4084958808789704e-11,"{'iterations': 69, 'residual norms': [8.147187566005112, 7.610039295788171, 8.699782489254915, 4.514579978370821, 3.1748924104971024, 2.0208995740083546, 1.3936342224916494, 0.5836141558613828, 0.2861831162134657, 0.15394311517746773, 0.07168484968278624, 0.03337644509015701, 0.017141806572749534, 0.013024507151022106, 0.014522231784921047, 0.011425961079755477, 0.005721251190821287, 0.003874956617671053, 0.0024409588147352823, 0.0020571573896831447, 0.001855167292649462, 0.0009694653918209229, 0.0005353024561482553, 0.000310466183899336, 0.0003163278728017378, 0.0002353272944590656, 0.00011900868013737351, 5.991359627233507e-05, 6.446392221005091e-05, 4.2743384622595926e-05, 2.5708876379952412e-05, 2.9785635818347855e-05, 2.1562413107343826e-05, 7.973966835390795e-06, 3.724357500233683e-06, 3.546643367646895e-06, 2.7552397007799178e-06, 1.3094519367874669e-06, 9.558470402609272e-07, 6.834098479348498e-07, 6.500258852549422e-07, 5.276306878277573e-07, 3.848542267121142e-07, 2.0534344972617874e-07, 1.2979587210634837e-07, 1.1622074793144273e-07, 6.95468187001619e-08, 4.89802732995121e-08, 3.603167660647214e-08, 2.296866095515306e-08, 1.7289584554362885e-08, 1.4005527027845922e-08, 7.487279863370693e-09, 5.2993250010769025e-09, 3.434523446292758e-09, 3.2059267273629304e-09, 2.6640196664063813e-09, 1.9719571556880457e-09, 1.2062081098849332e-09, 6.910328722851892e-10, 6.850392567104182e-10, 4.304981644997367e-10, 2.2041256743942497e-10, 1.614163746587084e-10, 8.977593910526005e-11, 6.501176563739008e-11, 4.983206998412957e-11, 3.6701766936850685e-11, 2.958345300126757e-11, 2.2347276116539018e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[2333.699462890625, 2157.810791015625, 2157.778076171875, 2158.019287109375, 2158.088623046875, 2157.68212890625, 2157.7216796875, 2156.669677734375, 2157.111572265625, 2159.665283203125]",[2030.239013671875],[3110.489013671875],[7165.60546875],[482.4749755859375],[431.888671875]
2025-12-11T12:45:41.900207+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,S12,S10,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,,2.357185351100159e-11,"{'iterations': 91, 'residual norms': [0.027077948860412045, 8.147361451227184, 6.6219398188041385, 8.230626292889287, 6.094228325479646, 4.247795690560364, 4.824225763126613, 3.450891349234689, 2.225859365614579, 1.5150479823839966, 1.1422857365865862, 0.7716528562461799, 0.6139139454853584, 0.36478054897524065, 0.20704832755502284, 0.09112667413836317, 0.05650279516185262, 0.02600871399449047, 0.01350481128923042, 0.008679492374270447, 0.006556807849582109, 0.007341685135120168, 0.007145357872625096, 0.0066483779297715805, 0.004406830938084919, 0.003547340726980944, 0.002062979979866806, 0.0017655729592761338, 0.0021420419721404987, 0.001906203192164571, 0.0015820409366942264, 0.0006943988578807498, 0.0004137023310426622, 0.0005843985888263095, 0.0002777225377820042, 0.0001736904335589482, 8.191980275457493e-05, 7.839548651384968e-05, 5.5899074717893244e-05, 3.389512882632376e-05, 1.3692134961201218e-05, 1.1606465644472406e-05, 1.2269772881581164e-05, 8.116719734647023e-06, 4.541603371290582e-06, 2.9477504824915257e-06, 2.257204146389878e-06, 1.555489422581165e-06, 1.2620290896623303e-06, 1.125346103527008e-06, 8.001662731363067e-07, 7.662980981248722e-07, 8.713753061666001e-07, 6.270011213180703e-07, 4.861413060443252e-07, 4.2952618189628106e-07, 3.7506129837398545e-07, 2.8936898378996163e-07, 2.2686393607825657e-07, 1.4471362760185318e-07, 8.398976577638947e-08, 6.644688519502088e-08, 5.486809601364215e-08, 3.6192122950554075e-08, 3.125028104652627e-08, 2.9226374925544047e-08, 2.286919333208704e-08, 1.7294980928760143e-08, 1.1170027657886889e-08, 7.270636198852987e-09, 4.121557166640566e-09, 2.725554881222714e-09, 2.1868867217899435e-09, 1.5777078154100903e-09, 1.3109303422400177e-09, 1.0897424027269487e-09, 8.650830628991423e-10, 6.019737228818944e-10, 5.013874085272989e-10, 4.085595255564508e-10, 3.7231020362275246e-10, 3.7036807083204466e-10, 3.13378696477769e-10, 2.774931379205852e-10, 2.3288008215503067e-10, 1.732133949928799e-10, 1.1858694765531952e-10, 8.229544740772433e-11, 6.030558800761471e-11, 4.179034799625018e-11, 3.1269505737899523e-11, 2.1287071044809648e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[5053.072265625, 2726.30908203125, 2719.687744140625, 2719.749267578125, 2719.681640625, 2722.094482421875, 2719.93798828125, 2719.431640625, 2721.64990234375, 2720.45751953125]",[1951.7188720703125],[3457.35302734375],[4259.9599609375],[62.020992279052734],[383.8407897949219]
2025-12-11T12:46:26.276205+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,S12,S10,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,,2.8070212442511577e-11,"{'iterations': 90, 'residual norms': [8.147187566005975, 7.159290621534552, 7.571367153445473, 5.038484572210742, 4.615039478301342, 4.900617137946819, 2.815015448628493, 1.8214145886909798, 1.454927980856989, 0.8205839162672367, 0.7775927040204231, 0.3466972435102448, 0.19167267687401843, 0.10020781413593678, 0.038501062773494084, 0.017955563533108183, 0.010776398358829485, 0.0066111528172573914, 0.011062428769901043, 0.008676939832384684, 0.004947173366074662, 0.0036059909050377664, 0.002368938362727173, 0.0019877031547185365, 0.00185727302016965, 0.001619586017599, 0.0015442961746039642, 0.0006796832414244806, 0.00043105490745479755, 0.0002822075752893652, 0.00027146354608310083, 9.609115939524304e-05, 9.300795659917743e-05, 0.00011232105978671812, 5.4351565818440565e-05, 4.65488410687305e-05, 6.174790481224325e-05, 4.708555822418199e-05, 2.733720471421713e-05, 1.7939197624798022e-05, 1.248438662780446e-05, 8.656965951576638e-06, 6.838746891549925e-06, 4.721705652544119e-06, 2.9064759921072566e-06, 2.707964241903463e-06, 1.8603793271040528e-06, 1.3506776110597156e-06, 1.2583241716670666e-06, 1.2075799282750175e-06, 1.1587543205251038e-06, 7.748219707323703e-07, 4.466429181361033e-07, 3.7578811852253225e-07, 3.6212459776863096e-07, 2.8341455041870687e-07, 2.3309233596783076e-07, 1.5748233784626213e-07, 1.0747351280345382e-07, 7.528583297367766e-08, 5.03212011959278e-08, 3.407305501735662e-08, 2.890470385211352e-08, 2.3002784296213928e-08, 1.662649366957126e-08, 1.4597416411969853e-08, 1.0532293993671766e-08, 9.871923678449564e-09, 8.695435545856924e-09, 7.014344553657565e-09, 5.857447903768378e-09, 4.424839055701587e-09, 2.9623164362153534e-09, 2.260055124536207e-09, 1.909866862257475e-09, 1.4897501359623436e-09, 1.0025180039099266e-09, 6.729274248378939e-10, 4.267455433968318e-10, 3.2948650001264794e-10, 2.425778642640679e-10, 1.6620523972003964e-10, 1.5690417181630438e-10, 1.4668543866695966e-10, 1.2918322359779125e-10, 1.0592867834516413e-10, 8.076088850495553e-11, 5.882417284442239e-11, 4.296542578379754e-11, 3.36720579729013e-11, 2.617453269627928e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[3094.3662109375, 2730.85400390625, 2728.017333984375, 2734.722412109375, 2728.53955078125, 2727.312744140625, 2729.352294921875, 2731.728759765625, 2728.697509765625, 2731.713134765625]",[1709.8118896484375],[3518.090087890625],[6786.55859375],[55.85795211791992],[367.6695861816406]
2025-12-11T12:47:27.001878+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,S11,S11,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,,2.4598382444356918e-11,"{'iterations': 57, 'residual norms': [0.027077948860412045, 9.699085124505544, 8.741880270269055, 9.905542948654494, 2.641946303132765, 0.38000315344490065, 0.12644467722853966, 0.06471819140991412, 0.02602248202411314, 0.01013499348062291, 0.00836708574684655, 0.007357069520257649, 0.005082910885495444, 0.0038728448138698685, 0.002557901459151845, 0.0014320253069729965, 0.00128911166972247, 0.0008728064609912212, 0.0005230553472189476, 0.000227010114198932, 0.00011099575666700687, 8.024759799103671e-05, 8.971589312526071e-05, 7.133519185782587e-05, 2.5397400606992282e-05, 1.4605149070355811e-05, 7.423801438608828e-06, 4.877802098014453e-06, 3.2217037249577435e-06, 2.074984496609276e-06, 2.196334268580847e-06, 1.6020827984150582e-06, 9.230496557709562e-07, 5.453578197140641e-07, 3.3423297992147126e-07, 1.4761340546652447e-07, 9.34889878463107e-08, 6.982178893847027e-08, 5.678080943187592e-08, 4.5675792201023144e-08, 2.8278261593940407e-08, 1.8249146665689497e-08, 1.5378748727938213e-08, 1.1288969815118557e-08, 6.1004836489146716e-09, 3.368402716859167e-09, 2.0138278482248576e-09, 1.1677777486698598e-09, 7.729076626223218e-10, 6.330702692158108e-10, 5.218359248995209e-10, 4.348042159088576e-10, 2.551341920703217e-10, 1.290321689157477e-10, 8.204308686774947e-11, 5.0701665514891667e-11, 3.233876004441069e-11, 2.3190693488043175e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[5785.90283203125, 3685.546142578125, 3684.14208984375, 3683.65380859375, 3683.79736328125, 3685.473876953125, 3684.21533203125, 3685.063720703125, 3684.424072265625, 3683.37158203125]",[2187.33837890625],[3174.078369140625],[13183.392578125],[64.22463989257812],[400.5873107910156]
2025-12-11T12:48:15.498442+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,S11,S11,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,,2.3806226065648138e-11,"{'iterations': 40, 'residual norms': [9.69836267657862, 9.189431645104065, 4.2527228856605985, 0.7019911887304682, 0.2877999102862859, 0.07549251508831656, 0.023255981382405706, 0.011277781901575698, 0.010387533541634042, 0.004595650736070709, 0.0020996029924608803, 0.0010691884308529289, 0.0006502245011312108, 0.00046202807149036405, 0.0001509559581975564, 5.493572402712957e-05, 4.7633898544074374e-05, 3.903127168411866e-05, 1.3216931085544854e-05, 7.074330959678512e-06, 3.004156849809225e-06, 1.2573050879987276e-06, 9.876134143981265e-07, 5.265790951630717e-07, 3.5119420071404083e-07, 2.5012034350353387e-07, 1.2317064296172413e-07, 9.111152561827399e-08, 4.2606266386890494e-08, 2.0465770898611555e-08, 6.342358927367161e-09, 3.894195022622858e-09, 3.157871109066261e-09, 1.995072434610598e-09, 1.020099472875605e-09, 6.748864390422933e-10, 3.2209067889323275e-10, 1.911741339077171e-10, 9.931805506217123e-11, 4.337256638551717e-11, 2.2741064965317995e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[2419.96484375, 2351.130615234375, 2350.548583984375, 2350.614990234375, 2351.367431640625, 2350.701416015625, 2351.322265625, 2350.624267578125, 2350.434326171875, 2351.7236328125]",[1996.1943359375],[3187.163818359375],[15762.650390625],[573.130615234375],[627.923095703125]
2025-12-11T12:49:16.670785+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,S12,S11,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,,1.7878002401484774e-11,"{'iterations': 61, 'residual norms': [0.027077948860412045, 9.69907055276639, 8.500195648823729, 8.2356581155196, 4.029643003300349, 0.9199224145997822, 0.36527697949021015, 0.12635495543776268, 0.04502315320250162, 0.032567839813826785, 0.01974012997550043, 0.007361956284382514, 0.0060353795238973955, 0.004020119380453876, 0.005607125038154646, 0.0017492593662532655, 0.0008757825397039959, 0.0007868747883986527, 0.0006430135892170493, 0.00020993989131316338, 0.00012735417408152587, 0.00010856098431138212, 9.342753637696694e-05, 6.227923881340441e-05, 4.110203893413573e-05, 3.130912225633457e-05, 1.4874820646163715e-05, 9.657271362151231e-06, 7.340499502250222e-06, 4.635712932204652e-06, 2.5554282493642263e-06, 1.7415487305494564e-06, 1.6201711416336732e-06, 1.1110288619277387e-06, 8.136591111838894e-07, 5.580652654112312e-07, 3.615755661933404e-07, 2.1354851251687833e-07, 1.512215499079022e-07, 1.1458124310395817e-07, 6.153301384786268e-08, 3.9334455650535746e-08, 2.792769259541948e-08, 1.9499409245133875e-08, 1.270716229136807e-08, 1.1472544524949812e-08, 7.788707042287402e-09, 5.1050164052994785e-09, 3.3539254983071348e-09, 2.5001413919742793e-09, 1.6384750774101688e-09, 9.413474156185336e-10, 6.049507229378191e-10, 3.7498615725017797e-10, 2.2171497161770595e-10, 1.8748927950282192e-10, 1.500892011918428e-10, 1.156015702820261e-10, 7.592112205824513e-11, 4.472191244462541e-11, 2.8144015506834732e-11, 1.5747064681862368e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[4038.2197265625, 3928.950439453125, 3921.237548828125, 3921.990966796875, 3921.4306640625, 3921.85498046875, 3921.703857421875, 3921.234375, 3920.86279296875, 3921.17724609375]",[2486.13427734375],[3506.215576171875],[13289.7744140625],[400.5403747558594],[421.62933349609375]
2025-12-11T12:50:07.269849+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,S12,S11,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,,2.1486538225123272e-11,"{'iterations': 46, 'residual norms': [9.69836267657864, 9.262870151209805, 6.276978778109135, 1.8972659584666158, 0.6680794196564206, 0.3051073850204211, 0.15664695004017873, 0.08837907971159524, 0.0219332585253258, 0.014916482988574726, 0.005851288185750286, 0.009912184723514182, 0.001995122042319631, 0.0006375319571530437, 0.0006779944413014397, 0.000307871464228665, 0.00012654071873644264, 7.748585892093406e-05, 5.040699719208569e-05, 2.1222502439064103e-05, 1.4113062025934322e-05, 8.384219377597417e-06, 5.4053601528600834e-06, 3.39226354926471e-06, 2.7963171669264152e-06, 1.8634322711225685e-06, 9.26862563150908e-07, 5.00742924863302e-07, 2.178692368533471e-07, 9.81713070008513e-08, 5.897975218477146e-08, 3.599264257773901e-08, 2.020878473902178e-08, 1.3819051620547338e-08, 9.033472845118173e-09, 5.227175278680008e-09, 3.912248822570723e-09, 2.579181653691194e-09, 1.4469886930963973e-09, 9.414541410445165e-10, 5.988033280076107e-10, 3.2642538272267163e-10, 1.8087428463149885e-10, 1.0171783592995253e-10, 5.240050060946625e-11, 2.818204353382428e-11, 2.0144228645091815e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[2713.5830078125, 2655.3017578125, 2651.62353515625, 2652.396484375, 2652.782470703125, 2652.17138671875, 2652.41162109375, 2651.3408203125, 2651.98828125, 2651.714111328125]",[1764.080810546875],[3529.25244140625],[15841.1923828125],[686.4260864257812],[394.87078857421875]
