datetime,test case,p,mesh family,fine m,solvers m,coarse m,solver,random rhs,solution warmup steps,solution measurement steps,solution repetitions,DoFs,matrix nnz,residual norm,metadata,setup metadata,solve times,matrix and DOF map copy times,matrix permute times,solver setup times,rhs copy and permute times,solution permute and copy times,exception
2026-01-13T11:00:05.653809+00:00,continuous coefficient 3D,3,"uniform(3D,4)",S4,S2,S2,"AdditiveSchwarz(torch.float64, Inv(torch.bfloat16), CUDSS, const_dofs_per_coarse=False)",False,10,10,10,491520,47923200,1.738865292521328,{},"{'preprocessing time': 0.17420800030231476, 'coarse solver setup time': 1634.8701171875, 'local solver setup time': 1000.046875, 'coarse solver solve time': 0.1193075180053711, 'local solver solve time': 1.3239520263671876}","[1.4956607818603516, 1.4947808265686036, 1.4948960304260255, 1.4928000450134278, 1.4943167686462402, 1.4943936347961426, 1.4965279579162598, 1.4959551811218261, 1.4944000244140625, 1.4957695960998536]",[323.5539245605469],[1821.1378173828125],[2896.47119140625],[1.2944320440292358],[0.7683519721031189],
2026-01-13T11:00:11.835773+00:00,continuous coefficient 3D,3,"uniform(3D,4)",S4,S2,S2,"HybridSchwarz(torch.float64, Inv(torch.bfloat16), CUDSS)",False,10,10,10,491520,47923200,1.2337732088231488,{},"{'preprocessing time': 0.1759680062532425, 'coarse solver setup time': 1795.3980712890625, 'local solver setup time': 1016.101806640625, 'coarse solver solve time': 0.11971967697143554, 'local solver solve time': 1.3237222290039063}","[1.501683235168457, 1.5027039527893067, 1.5038592338562011, 1.5018239974975587, 1.5010047912597657, 1.5026432037353517, 1.5043935775756836, 1.5022656440734863, 1.5041184425354004, 1.5025792121887207]",[315.8526306152344],[1699.252197265625],[3192.56591796875],[0.739359974861145],[0.7715520262718201],
2026-01-13T11:00:17.635827+00:00,continuous coefficient 3D,3,"uniform(3D,4)",S4,S2,S2,"AdditiveSchwarz(torch.float32, Inv(), CUDSS, const_dofs_per_coarse=False)",False,10,10,10,491520,47923200,1.738810250531357,{},"{'preprocessing time': 0.17295999825000763, 'coarse solver setup time': 1729.2110595703125, 'local solver setup time': 848.885986328125, 'coarse solver solve time': 0.10813952445983886, 'local solver solve time': 1.521146240234375}","[1.6810016632080078, 1.6775423049926759, 1.6777536392211914, 1.6766815185546875, 1.679097557067871, 1.676924705505371, 1.677987289428711, 1.6776575088500976, 1.6779071807861328, 1.6785663604736327]",[315.0316162109375],[1692.9561767578125],[2872.96142578125],[0.5534399747848511],[0.521888017654419],
2026-01-13T11:00:23.653712+00:00,continuous coefficient 3D,3,"uniform(3D,4)",S4,S2,S2,"HybridSchwarz(torch.float32, Inv(), CUDSS)",False,10,10,10,491520,47923200,1.2337006107585717,{},"{'preprocessing time': 0.1711679995059967, 'coarse solver setup time': 1818.4755859375, 'local solver setup time': 851.4087524414062, 'coarse solver solve time': 0.10819968223571777, 'local solver solve time': 1.5209977722167969}","[1.6844608306884765, 1.6843456268310546, 1.6866495132446289, 1.6851423263549805, 1.6854143142700195, 1.6844127655029297, 1.684111976623535, 1.6862560272216798, 1.6846784591674804, 1.6863840103149415]",[299.288330078125],[1710.77783203125],[3079.0751953125],[0.7645760178565979],[0.8280640244483948],
2026-01-13T11:00:29.234222+00:00,continuous coefficient 3D,3,"uniform(3D,4)",S4,S2,S2,"AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False)",False,10,10,10,491520,47923200,1.738807796446123,{},"{'preprocessing time': 0.18675200641155243, 'coarse solver setup time': 1692.07958984375, 'local solver setup time': 816.3919067382812, 'coarse solver solve time': 0.10809408187866211, 'local solver solve time': 1.0445426940917968}","[1.2176063537597657, 1.2160544395446777, 1.2141823768615723, 1.2143008232116699, 1.2159456253051757, 1.2145471572875977, 1.2159008026123046, 1.2141440391540528, 1.2161855697631836, 1.215238380432129]",[299.86016845703125],[1722.934814453125],[2717.66796875],[1.2761600017547607],[0.7725759744644165],
2026-01-13T11:00:35.034394+00:00,continuous coefficient 3D,3,"uniform(3D,4)",S4,S2,S2,"HybridSchwarz(torch.float32, Inv(torch.float16), CUDSS)",False,10,10,10,491520,47923200,1.2336985172305195,{},"{'preprocessing time': 0.17856000363826752, 'coarse solver setup time': 1747.4754638671875, 'local solver setup time': 930.628173828125, 'coarse solver solve time': 0.10813055992126465, 'local solver solve time': 1.044693145751953}","[1.222480010986328, 1.221280002593994, 1.2220959663391113, 1.2234944343566894, 1.2223072052001953, 1.2227423667907715, 1.2223584175109863, 1.225158405303955, 1.2233792304992677, 1.2224224090576172]",[306.13531494140625],[1686.8519287109375],[3001.271728515625],[0.41974401473999023],[0.6137920022010803],
2026-01-13T11:00:40.724594+00:00,continuous coefficient 3D,3,"uniform(3D,4)",S4,S2,S2,"AdditiveSchwarz(torch.float32, Inv(torch.bfloat16), CUDSS, const_dofs_per_coarse=False)",False,10,10,10,491520,47923200,1.7388646459770472,{},"{'preprocessing time': 0.1865919977426529, 'coarse solver setup time': 1720.0028076171875, 'local solver setup time': 901.88671875, 'coarse solver solve time': 0.10812479972839356, 'local solver solve time': 1.0736441802978516}","[1.2466815948486327, 1.2468992233276368, 1.246396827697754, 1.24682559967041, 1.2465151786804198, 1.2461119651794434, 1.2462431907653808, 1.2468864440917968, 1.2451616287231446, 1.2463199615478515]",[300.01312255859375],[1718.8466796875],[2836.48681640625],[1.2906240224838257],[0.7632960081100464],
2026-01-13T11:00:46.522563+00:00,continuous coefficient 3D,3,"uniform(3D,4)",S4,S2,S2,"HybridSchwarz(torch.float32, Inv(torch.bfloat16), CUDSS)",False,10,10,10,491520,47923200,1.233772942285594,{},"{'preprocessing time': 0.17737600207328796, 'coarse solver setup time': 1756.2659912109375, 'local solver setup time': 827.6609497070312, 'coarse solver solve time': 0.10809280395507813, 'local solver solve time': 1.07392578125}","[1.2538016319274903, 1.2703680038452148, 1.2523584365844727, 1.2520256042480469, 1.252998447418213, 1.2511808395385742, 1.2510880470275878, 1.252086353302002, 1.252774429321289, 1.252617645263672]",[299.266845703125],[1692.857421875],[2912.210205078125],[0.4153600037097931],[0.536191999912262],
2026-01-13T11:00:51.927946+00:00,continuous coefficient 3D,3,"uniform(3D,4)",S4,S3,S3,"AdditiveSchwarz(torch.float64, Inv(), CUDSS, const_dofs_per_coarse=False)",False,10,10,10,491520,47923200,1.4164182565394736,{},"{'preprocessing time': 0.16953599452972412, 'coarse solver setup time': 2046.167724609375, 'local solver setup time': 445.6920471191406, 'coarse solver solve time': 0.4328313446044922, 'local solver solve time': 0.3752620697021484}","[0.8861311912536621, 0.8866432189941407, 0.8862560272216797, 0.8871616363525391, 0.8363136291503906, 0.7856671810150146, 0.7863840103149414, 0.7837247848510742, 0.7857279777526855, 0.7862048149108887]",[298.5834045410156],[1700.0845947265625],[2639.020263671875],[0.5368959903717041],[0.4975680112838745],
2026-01-13T11:00:57.164733+00:00,continuous coefficient 3D,3,"uniform(3D,4)",S4,S3,S3,"HybridSchwarz(torch.float64, Inv(), CUDSS)",False,10,10,10,491520,47923200,0.8602351128829338,{},"{'preprocessing time': 0.1746239960193634, 'coarse solver setup time': 1941.3414306640625, 'local solver setup time': 540.3050537109375, 'coarse solver solve time': 0.42921855926513675, 'local solver solve time': 0.3736608123779297}","[0.9102527618408203, 0.8290592193603515, 0.795139217376709, 0.7940415859222412, 0.7992767810821533, 0.7986207962036133, 0.7989344120025634, 0.798419189453125, 0.7953919887542724, 0.7952767848968506]",[111.51417541503906],[1697.4385986328125],[2706.874267578125],[2.3373119831085205],[0.48371198773384094],
2026-01-13T11:01:02.707101+00:00,continuous coefficient 3D,3,"uniform(3D,4)",S4,S3,S3,"AdditiveSchwarz(torch.float64, Inv(torch.float32), CUDSS, const_dofs_per_coarse=False)",False,10,10,10,491520,47923200,1.416418256592046,{},"{'preprocessing time': 0.17321600019931793, 'coarse solver setup time': 2172.69384765625, 'local solver setup time': 539.853759765625, 'coarse solver solve time': 0.4339251327514648, 'local solver solve time': 0.19810111999511718}","[0.6079808235168457, 0.6077951908111572, 0.607535982131958, 0.6078207969665528, 0.608073616027832, 0.6078783988952636, 0.6078783988952636, 0.6079775810241699, 0.607539176940918, 0.6080383777618408]",[111.87967681884766],[1825.409423828125],[2828.0732421875],[0.5490239858627319],[0.49116799235343933],
2026-01-13T11:01:08.528310+00:00,continuous coefficient 3D,3,"uniform(3D,4)",S4,S3,S3,"HybridSchwarz(torch.float64, Inv(torch.float32), CUDSS)",False,10,10,10,491520,47923200,0.8602351129458291,{},"{'preprocessing time': 0.1746560037136078, 'coarse solver setup time': 2219.127197265625, 'local solver setup time': 520.0938720703125, 'coarse solver solve time': 0.4335718536376953, 'local solver solve time': 0.20072383880615235}","[0.6365407943725586, 0.6171999931335449, 0.6169055938720703, 0.6147615909576416, 0.6148992061614991, 0.6147103786468506, 0.6146080017089843, 0.6147200107574463, 0.6145599842071533, 0.6146975994110108]",[112.79952239990234],[2037.7880859375],[2932.154296875],[2.2633919715881348],[0.7355520129203796],
2026-01-13T11:01:13.631025+00:00,continuous coefficient 3D,3,"uniform(3D,4)",S4,S3,S3,"AdditiveSchwarz(torch.float64, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False)",False,10,10,10,491520,47923200,1.41641916537047,{},"{'preprocessing time': 0.19148799777030945, 'coarse solver setup time': 1973.8143310546875, 'local solver setup time': 448.5005798339844, 'coarse solver solve time': 0.43408832550048826, 'local solver solve time': 0.12131008148193359}","[0.6357759952545166, 0.6353536128997803, 0.5399199962615967, 0.5402368068695068, 0.5401343822479248, 0.5403776168823242, 0.5403711795806885, 0.5394176006317138, 0.5410943984985351, 0.5393792152404785]",[139.63023376464844],[1734.957763671875],[2524.16259765625],[1.252511978149414],[0.7527040243148804],
2026-01-13T11:01:18.743798+00:00,continuous coefficient 3D,3,"uniform(3D,4)",S4,S3,S3,"HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS)",False,10,10,10,491520,47923200,0.8602368077136772,{},"{'preprocessing time': 0.1796800047159195, 'coarse solver setup time': 1942.866455078125, 'local solver setup time': 470.70306396484375, 'coarse solver solve time': 0.4334368133544922, 'local solver solve time': 0.12117568016052246}","[0.5668255805969238, 0.5535200119018555, 0.5467328071594239, 0.5485824108123779, 0.5475935935974121, 0.5473152160644531, 0.5492608070373535, 0.5497183799743652, 0.5484416007995605, 0.5476960182189942]",[112.00991821289062],[1691.5628662109375],[2592.412109375],[2.2450881004333496],[0.768127977848053],
