datetime,test case,p,mesh family,fine m,solvers m,coarse m,solver,random rhs,solution warmup steps,solution measurement steps,solution repetitions,residual norm,metadata,setup metadata,solve times,matrix and DOF map copy times,matrix permute times,solver setup times,rhs copy and permute times,solution permute and copy times,exception
2025-12-15T16:47:34.905165+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S11,,,"CG(AMGX(L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,3.70876872161506e-11,"{'iterations': 39, 'residual norms': [0.05415558022970685, 5.462192856465181, 3.3140920303095904, 2.028000605475921, 1.0716987152693347, 0.48541350692368435, 0.22396315561165034, 0.11085996329602694, 0.05736913807513304, 0.02914915672295459, 0.014460566060143192, 0.007380474353271267, 0.0038419424877325103, 0.0018344646384173009, 0.000878464316400929, 0.0004550565391118874, 0.00024085300911319131, 0.00011948871628966192, 5.8229076155369074e-05, 2.930685743748105e-05, 1.5075969820173463e-05, 7.610926874227722e-06, 3.7891530464234485e-06, 1.907829496350678e-06, 9.712615028458e-07, 4.910877081271711e-07, 2.485910325452628e-07, 1.2689707020954742e-07, 6.419026239855795e-08, 3.216732244676223e-08, 1.6306267734085292e-08, 8.294621632747888e-09, 4.190223419962699e-09, 2.1318029983834477e-09, 1.0866256093083164e-09, 5.498498895488109e-10, 2.7694520537224275e-10, 1.4051117685213093e-10, 7.217383628070229e-11, 3.691826925065319e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[3943.33740234375, 650.0419921875, 650.0702514648438, 660.4120483398438, 648.4546508789062, 656.1242065429688, 648.4542846679688, 649.3295288085938, 648.4119873046875, 648.2886962890625]",[277.4483642578125],[0.015519999898970127],[1451.190185546875],[17.662559509277344],[42.52595138549805],
2025-12-15T16:47:44.311879+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S11,,,"CG(AMGX(AGGRESIVE_L1, torch.float32), bsr_matmul=True)",False,0,1,10,4.148831754819976e-11,"{'iterations': 57, 'residual norms': [0.05415558022970685, 8.801004969818141, 7.252813940756018, 5.111657447820028, 2.896755981126005, 1.5676834888574065, 0.8686842607557197, 0.5328854403061309, 0.36669272307032313, 0.2510892299102387, 0.14121225213036728, 0.08204050806194653, 0.05088819285292168, 0.03295480107865449, 0.02134596487311849, 0.012790695411972742, 0.007522356139546248, 0.004690849408812741, 0.003141225867516629, 0.0019186933666140288, 0.001132020035269987, 0.000694521073766686, 0.00044727289690594553, 0.0002898681468675892, 0.00017463135124890113, 0.00010378355142737553, 6.505047537988042e-05, 4.309404243986339e-05, 2.7032655940220866e-05, 1.6135615091179623e-05, 9.959046225359678e-06, 6.373604202471791e-06, 4.170973698809995e-06, 2.6018438608395715e-06, 1.5870165475998535e-06, 9.893675929103717e-07, 6.534181797022605e-07, 4.2425955745212104e-07, 2.603979290583562e-07, 1.607153191847639e-07, 1.0338919723352394e-07, 6.797893239253682e-08, 4.304279628871624e-08, 2.6304282004000043e-08, 1.6398654074365803e-08, 1.0650584787885717e-08, 6.882120862937898e-09, 4.234902461021564e-09, 2.6077856964021813e-09, 1.656164974575323e-09, 1.07051799507785e-09, 6.774055541714074e-10, 4.167668528313521e-10, 2.588808971080641e-10, 1.6635822486077323e-10, 1.0742665667176501e-10, 6.692711754047908e-11, 4.128411525261134e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[828.0172729492188, 714.4686279296875, 716.9127807617188, 714.526611328125, 714.3810424804688, 715.7317504882812, 715.1727905273438, 714.8348999023438, 714.8248901367188, 714.5792846679688]",[422.43463134765625],[0.013856000266969204],[1090.1826171875],[17.76153564453125],[22.691007614135742],
2025-12-15T16:47:53.941628+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S11,,,"CG(AMGX(AGGRESSIVE_L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,5.2362883516050394e-11,"{'iterations': 42, 'residual norms': [0.05415558022970685, 7.706609897854975, 5.190932601158367, 2.397696759217815, 1.0488336503477187, 0.5054889445431814, 0.32831091569699006, 0.17150102809275722, 0.08131140585733673, 0.04479792517199157, 0.024707857447389542, 0.012002786052752302, 0.006458762220068226, 0.003666313029369534, 0.0017871431791538623, 0.0009448933063461754, 0.0005276358217710163, 0.0002710834649275194, 0.00013752698186921566, 7.867979177011453e-05, 4.142181261410418e-05, 2.0538087176189907e-05, 1.1621391702216306e-05, 6.271820241528816e-06, 3.191818024186266e-06, 1.7346433819315524e-06, 9.697252281442629e-07, 4.980570248180156e-07, 2.648608204478672e-07, 1.5134250133101613e-07, 7.928033774234992e-08, 4.155624279317816e-08, 2.366532883523291e-08, 1.2666893579675836e-08, 6.611650737479008e-09, 3.7146387823383315e-09, 2.0253102055908893e-09, 1.0603875081855082e-09, 5.839184084214569e-10, 3.2637262050509837e-10, 1.7024335020895338e-10, 9.286710518340605e-11, 5.223900738672994e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[841.1568603515625, 731.3345336914062, 731.3300170898438, 730.9271850585938, 730.8413696289062, 730.9359130859375, 730.7462158203125, 730.8388671875, 731.38818359375, 730.789794921875]",[451.4085998535156],[0.014560000039637089],[1094.7313232421875],[20.204383850097656],[22.6331844329834],
2025-12-15T16:48:04.635430+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S11,,,"CG(AMGX(AGGRESSIVE_CHEB_L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,3.344828557180188e-11,"{'iterations': 29, 'residual norms': [0.05415558022970685, 1.9978796982803186, 0.5623520919077126, 0.33871330688260226, 0.12083739148596971, 0.053370903515400525, 0.0239087036918515, 0.007676343674645182, 0.0031842575217154736, 0.0014192952477623012, 0.0005020758139339538, 0.00023535763727134467, 9.35094390929653e-05, 3.831793183953634e-05, 1.7360495803503074e-05, 6.588656644205598e-06, 2.8925416460901784e-06, 1.211582126172824e-06, 4.782768629871781e-07, 1.897652323533656e-07, 8.013908623546285e-08, 3.49989108683184e-08, 1.4114838429657549e-08, 6.144067584696338e-09, 2.6163796780483334e-09, 1.038144907146631e-09, 4.3451373049946727e-10, 1.6776453736051142e-10, 7.259541315332926e-11, 3.329909504616483e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[930.9159545898438, 819.0262451171875, 818.3212890625, 818.5558471679688, 818.5587768554688, 818.781005859375, 818.7568359375, 818.2356567382812, 818.44189453125, 821.095703125]",[444.78082275390625],[0.016127999871969223],[1098.069580078125],[18.041088104248047],[52.13545608520508],
2025-12-15T16:48:31.363670+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S11,,,CUDSS,False,0,1,10,2.0854283120477367e-12,{},,"[99.12982177734375, 97.35577392578125, 97.29408264160156, 97.6144027709961, 97.45836639404297, 97.24905395507812, 97.46147155761719, 97.41158294677734, 97.4092788696289, 97.42169952392578]",[450.97869873046875],[0.014303999952971935],[23610.076171875],[42.0463981628418],[47.09987258911133],
