datetime,test case,p,mesh family,fine m,solvers m,coarse m,solver,random rhs,solution warmup steps,solution measurement steps,solution repetitions,DoFs,matrix nnz,metadata,residual norm,setup metadata,solve times,matrix and DOF map copy times,matrix permute times,solver setup times,rhs copy and permute times,solution permute and copy times,exception
2026-04-15T19:18:06.548593+00:00,madness 2D,1,"uniform(2D,7)",S7,,,"CG(AMGX(L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,1,98304,1175040,"{'iterations': 65, 'residual norms': [0.031474558525536094, 0.8038293738112607, 0.7583855942097513, 0.6473347739236678, 1.2321642331598255, 0.9328451970340836, 0.5518752291642353, 0.3623145492252969, 0.3577546653997267, 0.4854869071869173, 0.3579582939243722, 0.20815587129604637, 0.10459170814542422, 0.07627396036307874, 0.05587859536726798, 0.037083891170315075, 0.02877001882424334, 0.024313045166749037, 0.019167700864396828, 0.015397112911615125, 0.015956611073455477, 0.01662089879244927, 0.014171458873868645, 0.009642351579620281, 0.006789485228988471, 0.0050044741005340595, 0.0033835036985422036, 0.0026693635531260746, 0.0029861981994280785, 0.002769241051368919, 0.00204761202943445, 0.001276045815371142, 0.0008415021606341224, 0.0005362904644486087, 0.0003940714011844553, 0.0002602051779184788, 0.00015256735052550076, 8.53013978360424e-05, 5.396921517967267e-05, 5.156991269517464e-05, 5.7563928495337376e-05, 4.0951947594897645e-05, 2.6016246614385515e-05, 1.969273433797262e-05, 1.2957546641106622e-05, 7.37697850180348e-06, 4.823367996495079e-06, 4.075856796434174e-06, 4.881609413951505e-06, 3.5439021406128442e-06, 2.346809198416223e-06, 1.5040096068468233e-06, 9.505909814380457e-07, 6.761393091446685e-07, 4.4593545224179503e-07, 2.658845151310338e-07, 1.5917392801061996e-07, 1.0985883291681662e-07, 9.696202192053955e-08, 1.0924118743367e-07, 8.064828344544214e-08, 6.386849586057926e-08, 5.158051762303755e-08, 3.864118142720709e-08, 3.188295529720207e-08, 2.503970394780774e-08], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}], 'condition number estimate': nan}",2.511762744259364e-08,,[505.64715576171875],[4.7578558921813965],[0.013055999763309956],[156.57058715820312],[0.2523840069770813],[0.5455359816551208],
2026-04-15T19:18:07.058164+00:00,madness 2D,1,"uniform(2D,7)",S7,,,"CG(AMGX(AGGRESIVE_L1, None), bsr_matmul=True)",False,0,1,1,98304,1175040,"{'iterations': 42, 'residual norms': [0.031474558525536094, 1.0900368954459716, 1.0976146836729919, 0.7845775202086114, 0.6028339137296266, 0.46683073053461704, 0.321955732761592, 0.16504623261559653, 0.1140333815212491, 0.07498674751057882, 0.037866354926135694, 0.024876674190547055, 0.017524591232794328, 0.009702146414474025, 0.006452716890687701, 0.004458203347279974, 0.0024571539029385205, 0.0017615790930657824, 0.0011652969022058392, 0.0006599181645908002, 0.00048428820402847465, 0.0002955178044646579, 0.00017526760585051906, 0.000125351758837065, 7.255476126942412e-05, 4.856514415439455e-05, 3.150241496853542e-05, 1.9218240062226264e-05, 1.3530307466273122e-05, 8.146782496242411e-06, 5.593304370183454e-06, 3.749759080245613e-06, 2.281609521695092e-06, 1.5842428081990649e-06, 9.796712960250861e-07, 6.324832507180515e-07, 4.2258569338261994e-07, 2.525108938356416e-07, 1.673979819304365e-07, 1.0622858311905149e-07, 6.50446624426399e-08, 4.1957517866367234e-08, 2.6190646056957393e-08], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}], 'condition number estimate': 20.638318657018704}",2.6239066108051442e-08,,[56.79280090332031],[2.1183359622955322],[0.012223999947309494],[155.55174255371094],[0.2346239984035492],[0.17664000391960144],
2026-04-15T19:18:07.580034+00:00,madness 2D,1,"uniform(2D,7)",S7,,,"CG(AMGX(AGGRESIVE_L1, torch.float32), bsr_matmul=True)",False,0,1,1,98304,1175040,"{'iterations': 42, 'residual norms': [0.031474558525536094, 1.1145418338883533, 1.0974286949608894, 0.8027750025264139, 0.6221073067132734, 0.4888413085832584, 0.3344367049307838, 0.17891755034693446, 0.12130776597239207, 0.08039735687246977, 0.04143339462545105, 0.02639419342397774, 0.018387133747266218, 0.010677903754720235, 0.0067955339501844046, 0.00464848240089697, 0.0028369530080356448, 0.0017894128391608875, 0.0012485511145180967, 0.0007627703110764405, 0.0004782114044726555, 0.00033489525409464597, 0.00019951673981949007, 0.00012395875552853955, 8.727954416822117e-05, 5.227162670513771e-05, 3.339862096460751e-05, 2.3069266538054766e-05, 1.3989518071084753e-05, 9.393196434309055e-06, 6.247905718518631e-06, 3.998776206095779e-06, 2.7027298727201605e-06, 1.7626287168724503e-06, 1.1103643629901702e-06, 7.372248586682842e-07, 4.758509468612579e-07, 2.9829767559059304e-07, 1.9531909361731888e-07, 1.2215772648131238e-07, 7.787052653244791e-08, 4.879603845644581e-08, 3.043251394002019e-08], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}], 'condition number estimate': 21.027599408312103}",3.0475687292161566e-08,,[54.77113723754883],[2.263551950454712],[0.011711999773979187],[151.9769287109375],[0.2465279996395111],[0.14313599467277527],
2026-04-15T19:18:08.068075+00:00,madness 2D,1,"uniform(2D,7)",S7,,,"CG(AMGX(AGGRESSIVE_L1_TRUNC, None), bsr_matmul=True)",False,0,1,1,98304,1175040,"{'iterations': 30, 'residual norms': [0.031474558525536094, 0.9240206359824041, 0.768960340048034, 0.5467620482252157, 0.36257226884532007, 0.162571882837304, 0.09792637848228276, 0.04322705964501269, 0.02417020256590717, 0.013424545220196883, 0.006651617928836619, 0.003851259499254733, 0.0018634489088369018, 0.0011178394431941546, 0.0005439031723953754, 0.00031905752869705877, 0.00015169231712333016, 8.85898750456969e-05, 4.376514454632451e-05, 2.4073184856898162e-05, 1.2490578363668158e-05, 6.6635203296404604e-06, 3.5961089815476725e-06, 1.8722211511716828e-06, 1.028329896220832e-06, 5.333857552820209e-07, 3.0233035734781254e-07, 1.5477331514646842e-07, 8.762912609277027e-08, 4.489315704314337e-08, 2.4799096696169818e-08], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}], 'condition number estimate': 10.444451481291082}",2.4839994300528826e-08,,[43.73014450073242],[4.143072128295898],[0.012128000147640705],[151.99107360839844],[0.24579200148582458],[0.1462080031633377],
2026-04-15T19:18:08.572606+00:00,madness 2D,1,"uniform(2D,7)",S7,,,"CG(AMGX(AGGRESSIVE_L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,1,98304,1175040,"{'iterations': 31, 'residual norms': [0.031474558525536094, 0.9486920900012792, 0.7775830918130742, 0.5643108748322493, 0.399651676684713, 0.1835312513602608, 0.10700375226339846, 0.053535158259516664, 0.02594655585172051, 0.015778659102959763, 0.00744034651101768, 0.004469324770667188, 0.002210464140758288, 0.0012827853753377475, 0.0006688165245483409, 0.00036886262642923863, 0.00019559624039493766, 0.00010132973441072973, 5.7336917937899345e-05, 2.7737389734850064e-05, 1.6207696909166544e-05, 8.056398502844225e-06, 4.596992010700738e-06, 2.335308124486848e-06, 1.301727024625196e-06, 6.762388009798037e-07, 3.809837784436079e-07, 2.0022796016569995e-07, 1.1001958812900095e-07, 5.906161650119817e-08, 3.150395356805939e-08, 1.7049572594240417e-08], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}], 'condition number estimate': 10.772949717964728}",1.7110324892144198e-08,,[41.463008880615234],[2.2916159629821777],[0.011807999573647976],[150.17625427246094],[0.2329919934272766],[0.16022400557994843],
2026-04-15T19:18:09.077263+00:00,madness 2D,1,"uniform(2D,7)",S7,,,"CG(AMGX(AGGRESSIVE_CHEB_L1_TRUNC, None), bsr_matmul=True)",False,0,1,1,98304,1175040,"{'iterations': 21, 'residual norms': [0.031474558525536094, 0.4299713390611554, 0.24208340357017655, 0.12372399443811265, 0.035237275367222314, 0.01642282360550656, 0.005759262150432549, 0.0023919416948289837, 0.0009960742534657148, 0.0003500621279585743, 0.00017245631153108677, 6.164030315852156e-05, 3.146519996347347e-05, 1.0935500861092458e-05, 5.336102857195095e-06, 2.025819269050187e-06, 1.0902231356731501e-06, 4.560464061042216e-07, 2.0588349450332718e-07, 8.576415780861738e-08, 4.2830680389930134e-08, 2.0289498237910135e-08], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}], 'condition number estimate': 6.911698240149022}",2.0335017403070692e-08,,[45.0975341796875],[2.246623992919922],[0.012160000391304493],[167.7263946533203],[0.24486400187015533],[0.1475840061903],
2026-04-15T19:18:09.562494+00:00,madness 2D,1,"uniform(2D,7)",S7,,,"CG(AMGX(AGGRESSIVE_CHEB_L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,1,98304,1175040,"{'iterations': 22, 'residual norms': [0.031474558525536094, 0.6124624958813855, 0.2582326555921844, 0.1578169421032089, 0.05389217839499955, 0.021845733694405303, 0.00797590697734813, 0.00362388385543439, 0.0013862971313288448, 0.0006330670938862889, 0.0002721136961077299, 0.00011141705661651687, 5.2772242472065256e-05, 2.088491346411884e-05, 1.033510629566072e-05, 4.180854192069192e-06, 2.1860659312381106e-06, 9.335675726018098e-07, 4.672265703278617e-07, 2.3094169062397806e-07, 9.775351932267055e-08, 5.312949497173605e-08, 2.371650114281585e-08], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}], 'condition number estimate': 7.612169771821022}",2.3749855812895707e-08,,[42.43747329711914],[4.6353278160095215],[0.011231999844312668],[150.64306640625],[0.22723199427127838],[0.14140799641609192],
2026-04-15T19:18:10.266701+00:00,madness 2D,1,"uniform(2D,7)",S7,,,CUDSS,False,0,1,1,98304,1175040,{},8.564246025001586e-10,,[6.030367851257324],[2.2089920043945312],[0.011680000461637974],[416.3354187011719],[0.09008000046014786],[0.5362240076065063],
2026-04-15T19:20:04.020268+00:00,madness 2D,1,"uniform(2D,8)",S8,,,"CG(AMGX(L1_TRUNC, None), bsr_matmul=True)",False,0,1,1,393216,4709376,"{'iterations': 49, 'residual norms': [0.015738760586298275, 0.8570169180130798, 0.6869092131901655, 0.42490343569096084, 0.2637091618678209, 0.14849718466824682, 0.06851298810294963, 0.05992227887781119, 0.043074015351375915, 0.02457017702521659, 0.012945278177982767, 0.007714202239000853, 0.005050271442796837, 0.0034146953510358147, 0.002712381954012342, 0.002004769000004813, 0.0012176281934926647, 0.0006277214341366247, 0.0004020966040589705, 0.00027172964449369383, 0.00016615889059968833, 0.0001351739272911644, 9.767778314217422e-05, 5.6206601120698333e-05, 3.844947970961647e-05, 2.24400523044944e-05, 1.185276292361164e-05, 8.215442036287257e-06, 4.819204571392894e-06, 2.7249035910316527e-06, 1.8612214050649917e-06, 1.0160485076227945e-06, 5.373257725941214e-07, 3.505173950078845e-07, 2.0138948021210446e-07, 1.3328698780687427e-07, 9.472785887171232e-08, 5.7453503446115825e-08, 3.704763637229313e-08, 2.3158366682097933e-08, 1.2591876849698988e-08, 7.826703896058353e-09, 4.815013635089084e-09, 2.764533685010426e-09, 1.7550345013087477e-09, 1.0362874913907559e-09, 5.957096613931442e-10, 3.5120691677014834e-10, 1.966102712081538e-10, 1.267156491111121e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}], 'condition number estimate': 21.445690902872077}",3.4908930986271034e-09,,[3721.88525390625],[13.3571195602417],[0.015456000342965126],[589.2647094726562],[0.6635199785232544],[2.2603840827941895],
2026-04-15T19:20:04.708751+00:00,madness 2D,1,"uniform(2D,8)",S8,,,"CG(AMGX(AGGRESIVE_L1, None), bsr_matmul=True)",False,0,1,1,393216,4709376,"{'iterations': 62, 'residual norms': [0.015738760586298275, 1.0870369881678037, 1.085816476885243, 0.8056703941711989, 0.6293004000632568, 0.47072694834159484, 0.27407339335903075, 0.16958694830835236, 0.11545076942176516, 0.06296660833952103, 0.03780448462960047, 0.02551119905471958, 0.01614772738693632, 0.010761291586567275, 0.007691118542354496, 0.0053380346162248795, 0.0039387245473595685, 0.0030158000611534446, 0.0021687828538510664, 0.0015644153835455425, 0.001179308353458116, 0.0008147971993912424, 0.000536005310449981, 0.00039076595029548933, 0.00026191422902542886, 0.00016944901714554663, 0.00011982831105686256, 8.1134315560287e-05, 5.4984102563913275e-05, 3.881588276745265e-05, 2.6466474441327703e-05, 1.8842159049055048e-05, 1.3108984833794106e-05, 8.899168696827084e-06, 6.520281710118661e-06, 4.46274817238071e-06, 3.0827873951219813e-06, 2.224010017914413e-06, 1.5183168836594576e-06, 1.0878404333104956e-06, 7.563536073251627e-07, 5.15932070089932e-07, 3.653099641270022e-07, 2.4909956430047274e-07, 1.686801905150053e-07, 1.1811488132414331e-07, 7.976052311241706e-08, 5.285384815939859e-08, 3.658991972147682e-08, 2.4735474493742974e-08, 1.6139473984023197e-08, 1.1169036719248614e-08, 7.4046052974446835e-09, 4.882287309616686e-09, 3.4221612909105346e-09, 2.241284236266327e-09, 1.503947159563335e-09, 1.0533342909814955e-09, 6.900971497546984e-10, 4.677663747091288e-10, 3.2827463270717225e-10, 2.1337940342503775e-10, 1.4942968579150838e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}], 'condition number estimate': 30.78853026983455}",3.909700196432818e-09,,[125.0763168334961],[11.48799991607666],[0.014527999795973301],[232.19161987304688],[0.9975680112838745],[0.7243199944496155],
