datetime,test case,p,mesh family,fine m,solvers m,coarse m,solver,random rhs,solution warmup steps,solution measurement steps,solution repetitions,residual norm,metadata,setup metadata,solve times,matrix and DOF map copy times,matrix permute times,solver setup times,rhs copy and permute times,solution permute and copy times,exception
2025-12-15T17:08:32.304674+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,,,"CG(AMGX(L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,2.4204591148564328e-11,"{'iterations': 40, 'residual norms': [0.027077948860412045, 5.372622093837873, 3.4566954581083635, 2.117195928685198, 1.1482681098107776, 0.5320617292997979, 0.24704510695807097, 0.12358248691020497, 0.06451930583987407, 0.03295103695868026, 0.01648638774916947, 0.00845939546825137, 0.004432802378805793, 0.0021430884960133736, 0.0010236627238602864, 0.0005270149103275935, 0.0002814238963524377, 0.0001408241826941917, 6.834613506003714e-05, 3.434425662409622e-05, 1.7722166384328913e-05, 8.940593189984856e-06, 4.454893162626461e-06, 2.263096149657242e-06, 1.1613795255424956e-06, 5.865688540738981e-07, 2.9605763760596543e-07, 1.5159762692070837e-07, 7.71560013288661e-08, 3.8746205398920924e-08, 1.9613337888118327e-08, 1.0000701752847246e-08, 5.077713838962037e-09, 2.586707203166825e-09, 1.3232052234493684e-09, 6.74168682489588e-10, 3.410056877247605e-10, 1.7317815846321652e-10, 8.910981655169088e-11, 4.5740142256736176e-11, 2.312542439833703e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[5216.7236328125, 2567.35546875, 2577.07470703125, 2575.80322265625, 2573.69580078125, 2579.022216796875, 2581.341796875, 2575.31640625, 2574.988037109375, 2576.090087890625]",[2964.548828125],[0.015744000673294067],[5579.1103515625],[64.95315551757812],[236.67388916015625],
2025-12-15T17:09:09.486431+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,,,"CG(AMGX(AGGRESIVE_L1, torch.float32), bsr_matmul=True)",False,0,1,10,2.1589369868785472e-11,"{'iterations': 59, 'residual norms': [0.027077948860412045, 8.734579575939922, 7.2425061075220585, 5.111278681953351, 2.9188795338792266, 1.5859122712575486, 0.8864056947134852, 0.551156953598053, 0.3846640459505164, 0.2629735541909832, 0.14732864535245352, 0.08581549036598464, 0.053402109389521044, 0.03474876575098943, 0.02255461180038565, 0.013537201005630353, 0.008016509237585085, 0.005031384521550169, 0.0033753631966492157, 0.002062178823875347, 0.0012232325046374892, 0.0007566355861229599, 0.0004909020786995748, 0.00031836254384739993, 0.00019190153168183787, 0.00011492304973579953, 7.25868126768247e-05, 4.821238790033711e-05, 3.016215815975841e-05, 1.8023286821136964e-05, 1.1182761749869641e-05, 7.181721640464401e-06, 4.684473681993088e-06, 2.906499734150322e-06, 1.7708606996583853e-06, 1.1054818908619195e-06, 7.293724460575352e-07, 4.7096818009968334e-07, 2.8832061814097545e-07, 1.7818613688935748e-07, 1.1496266434798041e-07, 7.560532903816733e-08, 4.783657561594093e-08, 2.9341932822016763e-08, 1.842831510259211e-08, 1.2050313480917326e-08, 7.81727004946744e-09, 4.82812176566555e-09, 2.9945879811205355e-09, 1.917292689951727e-09, 1.24614588442026e-09, 7.897017987777654e-10, 4.86901220583649e-10, 3.0420126776915646e-10, 1.9647666350118705e-10, 1.268201866595916e-10, 7.884380987133185e-11, 4.866520639868964e-11, 3.090945594362157e-11, 1.9902107213914146e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[2961.14697265625, 2848.781005859375, 2844.30078125, 2848.443115234375, 2850.785400390625, 2850.979736328125, 2851.25048828125, 2852.445556640625, 2855.446533203125, 2856.04443359375]",[1647.4503173828125],[0.014047999866306782],[4198.6181640625],[274.21929931640625],[238.99452209472656],
2025-12-15T17:09:49.029971+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,,,"CG(AMGX(AGGRESSIVE_L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,2.7727548500018632e-11,"{'iterations': 43, 'residual norms': [0.027077948860412045, 7.7022061729232405, 5.151297090600626, 2.3780997785501294, 1.0365628362156698, 0.5001077577304818, 0.3269630699585645, 0.1714199806929827, 0.08151660941190673, 0.045150894485250406, 0.02514148186928444, 0.012295868148879964, 0.006687460348026155, 0.0038156560518103843, 0.00187046263189239, 0.0010048742216885141, 0.0005659519564435932, 0.0002917413231977924, 0.000150044687979549, 8.65055364175071e-05, 4.544360714545749e-05, 2.2688480586023248e-05, 1.2938854682924937e-05, 6.930702365637433e-06, 3.5174098298527758e-06, 1.9186934968623177e-06, 1.0624360676482433e-06, 5.410583109936209e-07, 2.873524406934464e-07, 1.6267836629161674e-07, 8.428333345595327e-08, 4.398148511753674e-08, 2.4884165804367996e-08, 1.319781678558811e-08, 6.855333880232519e-09, 3.834073898135783e-09, 2.077789404517387e-09, 1.0810262404437993e-09, 5.912868252349427e-10, 3.281450113684142e-10, 1.698231181646993e-10, 9.179490209456607e-11, 5.125613067564842e-11, 2.6753991892189943e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[3008.782470703125, 2898.898681640625, 2899.719482421875, 2901.673583984375, 2903.046630859375, 2901.430419921875, 2902.907958984375, 2901.93505859375, 2903.612060546875, 2901.880615234375]",[2017.31884765625],[0.014592000283300877],[4225.42236328125],[65.69497680664062],[244.8250274658203],
2025-12-15T17:10:33.284974+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,,,"CG(AMGX(AGGRESSIVE_CHEB_L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,2.7502763041606882e-11,"{'iterations': 30, 'residual norms': [0.027077948860412045, 1.995111554189562, 0.5547199352550121, 0.3380160358259278, 0.12412696143692614, 0.05635570509720972, 0.026270903528671365, 0.008902432971024221, 0.003680379783701191, 0.0017049064042101282, 0.0006155511618625993, 0.0002960132161789242, 0.00012216615234312335, 5.0922541905946025e-05, 2.371034942557196e-05, 9.312723030655052e-06, 4.150089170108108e-06, 1.8203186163835521e-06, 7.245273569153431e-07, 2.945536731969741e-07, 1.2546115290006712e-07, 5.525262044076035e-08, 2.3440472566162654e-08, 1.0151694253897184e-08, 4.4617531206285324e-09, 1.845253831215573e-09, 7.947277747832642e-10, 3.1382624392479343e-10, 1.364915985527283e-10, 6.523559935576587e-11, 2.6750611355548838e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[3361.4189453125, 3246.56298828125, 3250.112060546875, 3249.938720703125, 3250.0439453125, 3252.008544921875, 3250.3974609375, 3250.208251953125, 3250.898681640625, 3250.7900390625]",[1756.05517578125],[0.01587199978530407],[4231.583984375],[65.02291107177734],[759.551025390625],
2025-12-15T17:12:50.612611+00:00,continuous coefficient 2D,1,"uniform(2D,12)",S12,,,CUDSS,False,0,1,10,,,,,,,,,,CUDSS error: 2 at /root/dd-solvers/src/dd_solvers/cpp/cudss.cpp:100
