datetime,test case,p,mesh family,fine m,solvers m,coarse m,solver,random rhs,solution warmup steps,solution measurement steps,solution repetitions,residual norm,metadata,setup metadata,solve times,matrix and DOF map copy times,matrix permute times,solver setup times,rhs copy and permute times,solution permute and copy times,exception
2025-12-11T12:28:30.940943+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S11,S9,S9,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,4.9677291313937153e-11,"{'iterations': 78, 'residual norms': [0.05415558022970685, 8.147763758602078, 7.186588014917537, 9.667304395842068, 4.705228196480081, 2.320601333577816, 2.2143955437545473, 0.917349443748922, 0.4791227133192833, 0.2637537819753951, 0.14925242404950076, 0.08419680223116516, 0.03880121035282131, 0.02351006535159302, 0.024037428896658466, 0.022693933187792264, 0.01570987346902766, 0.009822359909967824, 0.007192197477179323, 0.00528627733426633, 0.005131133784802938, 0.006463678656819785, 0.003923747073185867, 0.0018808274641106337, 0.0010148936702401997, 0.0005266205937594871, 0.00030278956342112814, 0.00023876456150200557, 0.0002028775962550985, 0.0001421682017293131, 0.00010494482283657457, 8.494974221056786e-05, 9.289912188168285e-05, 7.867015480412958e-05, 6.290236694623327e-05, 3.51338644987724e-05, 1.6612066440802153e-05, 1.222186956065229e-05, 9.096212091357849e-06, 6.412411186701664e-06, 4.964681312156772e-06, 3.272620882715545e-06, 3.008451464519555e-06, 1.9788212571884686e-06, 9.738479380015928e-07, 9.42001611292493e-07, 7.071431800450923e-07, 6.495089332626806e-07, 6.370532001689363e-07, 4.0470035891793336e-07, 3.350562219002329e-07, 3.2564007149523014e-07, 1.7038348780751898e-07, 9.315988082478124e-08, 5.0391376212687265e-08, 3.12775048989084e-08, 2.3597046809354428e-08, 1.886039091469708e-08, 1.3514272560697511e-08, 1.0963514349672334e-08, 9.010381497626748e-09, 8.252115346051799e-09, 6.295449669585525e-09, 4.656181542354117e-09, 3.2028590173632253e-09, 3.142630055648076e-09, 1.9187307524548895e-09, 1.9060751726010544e-09, 1.458286141491443e-09, 7.083434164626781e-10, 3.710658607566139e-10, 3.3380372130668807e-10, 1.8302716310861392e-10, 1.1092033238401227e-10, 8.302417918140636e-11, 6.875205496638874e-11, 6.478873258345321e-11, 5.6469561057654823e-11, 4.945083801896369e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[2253.7783203125, 722.4530029296875, 722.7975463867188, 722.855224609375, 723.2421264648438, 722.9354248046875, 723.3580932617188, 722.9771118164062, 726.0885009765625, 722.5155029296875]",[274.3273620605469],[1155.654296875],[2449.653076171875],[17.237472534179688],[19.446239471435547],
2025-12-11T12:28:43.605745+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S11,S9,S9,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,4.4389970894974e-11,"{'iterations': 62, 'residual norms': [8.147207715013716, 7.300695739480118, 7.006343655253153, 2.2828580260841296, 2.009483452434836, 0.8086634154694133, 0.33599512126085157, 0.15550811109478768, 0.06849544963651368, 0.03452275550407843, 0.026743812102483503, 0.028241856277746412, 0.017763030183015942, 0.012196014641861737, 0.005370907235961784, 0.00484009531346317, 0.004903930503885754, 0.001992360237078248, 0.0011782152831868338, 0.0007494143792812619, 0.0005444991766724394, 0.0003410802836154401, 0.0002102152595613869, 0.000240511946851181, 0.00018438383200916942, 0.0001036128670654549, 4.357919613767685e-05, 2.5949488588661166e-05, 2.311219870136817e-05, 1.9744967226202765e-05, 8.213530875428513e-06, 5.6728000208423495e-06, 4.948793472592342e-06, 3.6606650329272154e-06, 2.7041818750505436e-06, 1.694384377036192e-06, 1.3263301084262927e-06, 6.622998962729396e-07, 3.391894328421708e-07, 2.5404467916122774e-07, 1.9388093193322313e-07, 1.331349496088395e-07, 1.1773327530358568e-07, 6.809787471552904e-08, 4.575003849227682e-08, 3.354516724416216e-08, 2.963611723752875e-08, 1.806719268135725e-08, 8.914406148581838e-09, 6.912490546754911e-09, 3.6911770955222695e-09, 2.3530883800752242e-09, 2.156160643114028e-09, 1.6918695391838754e-09, 1.1815438895278635e-09, 9.042930636594194e-10, 4.1347249166854385e-10, 3.0832143322597294e-10, 2.404578036646525e-10, 1.771081403169874e-10, 9.693789058224337e-11, 6.040099233391871e-11, 4.418191939395024e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[780.2286987304688, 618.9876098632812, 621.645751953125, 621.4761962890625, 618.3635864257812, 618.4620971679688, 622.6334838867188, 622.8505859375, 626.2991943359375, 619.0220336914062]",[830.6765747070312],[1140.805419921875],[2972.099609375],[94.02127838134766],[24.29792022705078],
2025-12-11T12:28:57.800968+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S11,S10,S9,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,5.368648796879014e-11,"{'iterations': 82, 'residual norms': [0.05415558022970685, 8.147547693071683, 7.275329343537757, 10.375271283414728, 5.472042229356699, 3.211596322968492, 3.11397871977901, 1.4518815927298083, 1.1281084636993552, 0.6141486520945306, 0.3435781778933574, 0.1346360994659807, 0.10120666020693028, 0.04860079862016642, 0.021418279531529406, 0.01710443288997874, 0.021175265322776523, 0.017514179663232318, 0.011185296161529608, 0.009301603270339954, 0.005865880449314596, 0.004275914981627827, 0.005837107426107187, 0.004567093275530778, 0.002464465785866321, 0.001734875990830161, 0.0009825233599703217, 0.0007155943891676599, 0.0007146895008382349, 0.0004884892905117054, 0.0003236245576561972, 0.00018651373605235122, 0.00017215740907758088, 0.00011083835460656538, 7.17610951521236e-05, 5.9534218898041365e-05, 5.3867995448387915e-05, 5.882432426099788e-05, 4.905343632086934e-05, 2.194144021995839e-05, 1.3618804998847403e-05, 9.728131328509027e-06, 7.915550186627807e-06, 7.48822226486099e-06, 5.131289224305249e-06, 3.01517279356638e-06, 1.5205752652673323e-06, 1.0885752686266224e-06, 8.955752307209681e-07, 1.0950939711264889e-06, 6.456654810309219e-07, 4.419270952075869e-07, 4.251421709013989e-07, 3.766350456584657e-07, 2.73847661918199e-07, 1.8142039295742277e-07, 1.2211315157300283e-07, 1.1520591395256294e-07, 8.028948603170204e-08, 5.96973906702282e-08, 4.8858451437376455e-08, 2.6725255840954266e-08, 1.7166933311200056e-08, 1.2504873820850728e-08, 1.2124691555702531e-08, 9.742517021430651e-09, 7.3084047722595725e-09, 5.082996650217365e-09, 3.592240502447031e-09, 2.3654090359847572e-09, 2.025758786178101e-09, 2.217081288569996e-09, 1.8606387348840462e-09, 1.1198573075053952e-09, 8.020839214968362e-10, 6.168258214529887e-10, 5.064074215252005e-10, 3.450411695403085e-10, 2.09376753722889e-10, 1.3735315801248766e-10, 9.194515568978663e-11, 5.724341524449649e-11, 5.346943349762653e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[2151.1279296875, 671.0425415039062, 672.9647827148438, 672.8594970703125, 672.3988037109375, 675.0372924804688, 677.5526123046875, 675.7970581054688, 674.3942260742188, 671.3602905273438]",[1391.2742919921875],[1217.9029541015625],[1858.0323486328125],[90.18115234375],[85.91327667236328],
2025-12-11T12:29:10.094595+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S11,S10,S9,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,5.099326667701737e-11,"{'iterations': 67, 'residual norms': [8.147207715013538, 7.609630335336264, 8.703387252438798, 4.5152812650195715, 3.176728605457174, 2.0232983598271, 1.3974399837887086, 0.5876621483537974, 0.2994934656613833, 0.16458337922442492, 0.07670417722137123, 0.03756131606808964, 0.022981760968806747, 0.02070853564973963, 0.020688058698479506, 0.01335128079195638, 0.006574409610298159, 0.005152456871984898, 0.0038409055743629412, 0.0032242375456232146, 0.002403078335888345, 0.0011751392439286626, 0.0007721502801392873, 0.000552890114527068, 0.0005222643379102327, 0.00030860653290614614, 0.00015235445229435407, 9.893006575600699e-05, 0.00010085406110773311, 4.9465721149689235e-05, 4.013998783191479e-05, 5.0791875633545675e-05, 2.7651402523574852e-05, 1.0327339002750479e-05, 6.3926052369553536e-06, 6.453066688859418e-06, 4.11309795242028e-06, 1.7317960671846677e-06, 1.22116235272818e-06, 9.598982975716494e-07, 9.489035643867595e-07, 7.254703047719971e-07, 5.29595360812097e-07, 2.8076328642881243e-07, 1.8651602202115743e-07, 1.6123533011746267e-07, 9.710596010780257e-08, 7.013387542052288e-08, 5.042911662100475e-08, 3.2310537026225045e-08, 2.4713700598488456e-08, 1.86959630607718e-08, 1.0308469086364173e-08, 7.031022690882033e-09, 4.911026721340964e-09, 4.608677901721098e-09, 3.641732932996593e-09, 2.651859641083088e-09, 1.59891813400608e-09, 1.0081883948749588e-09, 9.91758881545486e-10, 6.016582316891215e-10, 3.2622611718025265e-10, 2.2164946237329262e-10, 1.247626863879285e-10, 9.455646457058028e-11, 6.903855221512637e-11, 5.0801872899019255e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[914.4686889648438, 569.2800903320312, 571.2935791015625, 570.14013671875, 569.3049926757812, 569.3818969726562, 571.7791137695312, 569.8577270507812, 569.9638671875, 569.169189453125]",[539.1574096679688],[1257.9249267578125],[2745.828857421875],[98.42527770996094],[86.2590103149414],
2025-12-11T12:29:22.595490+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S11,S11,S9,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,4.8676595054648365e-11,"{'iterations': 90, 'residual norms': [0.05415558022970685, 8.147387499418189, 6.623980133254527, 8.240496953840388, 6.0909587020553735, 4.252014187906076, 4.857321169129461, 3.476329016742096, 2.235539257135053, 1.556013878060403, 1.1418122789171292, 0.8371162751806787, 0.5964712584636611, 0.37931951314868956, 0.21612329251552345, 0.09806405540719623, 0.05712580778642697, 0.027356050443672727, 0.016483281585758423, 0.013214931959431847, 0.011726356287831176, 0.013697377130236854, 0.010681909127934276, 0.007924371520501678, 0.0049108098162621875, 0.004088110913161504, 0.002845001366508216, 0.002981573132271007, 0.0035928666495758004, 0.002647967690075259, 0.001873274883929888, 0.0009777576830750122, 0.0008441169040501918, 0.0010325332915364202, 0.00035670613115171734, 0.0002375502939012951, 0.00013244087644387461, 0.00013137603954823453, 7.665748107176804e-05, 4.273325915232479e-05, 2.086945591120369e-05, 1.809141051894627e-05, 1.9275605204163908e-05, 1.1240064220229595e-05, 6.294662322930052e-06, 4.343648968495456e-06, 3.0998727531031753e-06, 2.1771778105157154e-06, 1.8877543914878893e-06, 1.5026959843434427e-06, 1.0302885152672241e-06, 9.08680455202475e-07, 9.67626987420836e-07, 7.308997753126899e-07, 5.986779000183075e-07, 5.525542301520852e-07, 5.35641829078201e-07, 4.116370525389245e-07, 3.257133928466639e-07, 2.092584476346719e-07, 1.232687933353445e-07, 9.404835186950285e-08, 7.633864180253218e-08, 5.144839621786669e-08, 4.488030291211989e-08, 4.240218493074168e-08, 3.286002346533563e-08, 2.5204747812756024e-08, 1.6734985188841995e-08, 1.0618224388774635e-08, 5.9148108736152525e-09, 3.841965606121587e-09, 3.140562102568045e-09, 2.3829763994466034e-09, 1.9909906547301374e-09, 1.7203161615955784e-09, 1.345273758436301e-09, 9.184019416766067e-10, 7.677386642141161e-10, 6.207886656424428e-10, 5.806436118543686e-10, 6.011287702655167e-10, 5.014808893079604e-10, 4.3892920702850657e-10, 3.609579775599229e-10, 2.483601600701489e-10, 1.6352710080018863e-10, 1.1424458287490997e-10, 8.439846444849313e-11, 6.070458506042619e-11, 4.8415123378936616e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[843.4503784179688, 738.03466796875, 742.093017578125, 743.5762329101562, 742.0480346679688, 740.8760986328125, 739.8488159179688, 757.7529296875, 738.3783569335938, 737.9965209960938]",[523.8544921875],[1240.73193359375],[1765.7845458984375],[24.066688537597656],[32.42758560180664],
2025-12-11T12:29:34.681316+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S11,S11,S9,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,4.6771745324318787e-11,"{'iterations': 89, 'residual norms': [8.147207715013709, 7.159564385784998, 7.574037207794358, 5.040946256763181, 4.617031741704275, 4.903681055877901, 2.8254821866086637, 1.8346459327977167, 1.4701564034371457, 0.8467246633653043, 0.7854550924365375, 0.3479959092242531, 0.1910399085876573, 0.10159041886028862, 0.041561784701671066, 0.02039010211952802, 0.014661809396583151, 0.011852285575137969, 0.018566576074037593, 0.010906677049916106, 0.005470556640602906, 0.004162526322507312, 0.003360935490241528, 0.003035098563754462, 0.0031201461234414717, 0.0024897832984257504, 0.001955285328514066, 0.0009228655705855723, 0.0006750457795298934, 0.00042556067243627486, 0.0003423310824838268, 0.0001461035828252519, 0.00014378785370780737, 0.00014207353740204584, 7.313943466868194e-05, 6.90182948943465e-05, 8.949941759646051e-05, 6.433984912596746e-05, 4.085025259971294e-05, 2.6393858884128037e-05, 1.7717149009638233e-05, 1.3118286247965239e-05, 1.0677627918069602e-05, 6.895181034633373e-06, 4.28691209208079e-06, 3.96912628256366e-06, 2.629346850731753e-06, 1.916481940496782e-06, 1.7366000632186327e-06, 1.6656249509499302e-06, 1.686009171599226e-06, 1.0823005368299932e-06, 6.311122366562404e-07, 5.703392700726796e-07, 5.222674733490984e-07, 4.0909424846748275e-07, 3.450504758697521e-07, 2.210315579084365e-07, 1.544920427862762e-07, 1.1194411227215564e-07, 7.609111501653736e-08, 5.4238344590920594e-08, 4.616444540188991e-08, 3.449084581257516e-08, 2.5395784350589897e-08, 2.0740711998568525e-08, 1.4484916966668582e-08, 1.4250061992648285e-08, 1.2502343353781897e-08, 1.0015295208130556e-08, 8.50609127521708e-09, 6.271079334943047e-09, 4.274486950307878e-09, 3.539412993474884e-09, 3.0867210692427876e-09, 2.3608951655560265e-09, 1.5178001633660016e-09, 9.782621811017894e-10, 5.990511505805952e-10, 4.440857483794657e-10, 3.210589202589878e-10, 2.277390785677961e-10, 2.2314500799011006e-10, 2.0811096995468973e-10, 1.8111717877318943e-10, 1.4570265101117664e-10, 1.1026119575478707e-10, 7.9250023289495e-11, 5.80173683513512e-11, 4.649884982070622e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[824.1674194335938, 735.2646484375, 736.43603515625, 734.7733154296875, 735.2991943359375, 734.696533203125, 734.8914184570312, 735.8295288085938, 737.83544921875, 735.271484375]",[424.76361083984375],[1215.294677734375],[2330.065185546875],[23.298303604125977],[28.455007553100586],
2025-12-11T12:29:52.877340+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S11,S10,S10,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,4.40422171533027e-11,"{'iterations': 56, 'residual norms': [0.05415558022970685, 9.698278956883037, 8.741260463210711, 9.90362534192514, 2.649613053725417, 0.388873818180457, 0.14607897520668267, 0.06981178734991363, 0.03499133794232252, 0.014606132196003513, 0.01321526164437516, 0.009955476770713371, 0.006582055551134499, 0.0047817759164823686, 0.0036551659480957665, 0.0023019021260742224, 0.0020859608363897266, 0.0011857721646124286, 0.0006520737581405951, 0.0002785136381332367, 0.0001435156588291065, 0.00011606348144072278, 0.00013017705496766723, 9.389794761052961e-05, 3.401624888325704e-05, 2.122612675153716e-05, 1.0928793365148198e-05, 6.566986500542141e-06, 4.3224007761451905e-06, 3.063320840945501e-06, 3.1207357883489435e-06, 2.2217484644848322e-06, 1.304373507421197e-06, 7.997087126312065e-07, 4.999080868564006e-07, 2.0912241707189215e-07, 1.3059133154598716e-07, 9.876109134325819e-08, 8.095791649730717e-08, 6.54818075722536e-08, 3.9992989277212734e-08, 2.5879347932942977e-08, 2.1750837871555704e-08, 1.5775179289517292e-08, 8.31774945543287e-09, 4.787983306205456e-09, 2.8782760813437438e-09, 1.673737764932517e-09, 1.075175810366187e-09, 8.895655231992536e-10, 7.374761994347753e-10, 6.076071377681871e-10, 3.6362031594532924e-10, 1.8269506126631321e-10, 1.1397644137865847e-10, 7.10014301935781e-11, 4.385371194126619e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[2388.85107421875, 950.0455322265625, 950.0552978515625, 953.4561767578125, 957.25341796875, 947.9803466796875, 948.4155883789062, 948.324951171875, 948.81591796875, 952.1229858398438]",[576.4835205078125],[1224.4580078125],[3862.94873046875],[24.45235252380371],[82.7037124633789],
2025-12-11T12:30:07.006041+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S11,S10,S10,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,3.104070718477434e-11,"{'iterations': 40, 'residual norms': [9.698359608000345, 9.188453153926922, 4.2595563253038655, 0.7042876799192971, 0.29090243891536516, 0.07718629267842096, 0.02625067904274549, 0.015780495887437983, 0.014815089613129492, 0.004958552192976661, 0.002820870540056237, 0.0018511025221501383, 0.0010393956399363084, 0.0005525554572799897, 0.0001813307021144874, 7.522295239213311e-05, 6.76722388070237e-05, 4.6097382717022044e-05, 1.9265817828991292e-05, 1.056113023564654e-05, 3.856907667157432e-06, 1.7486729732543206e-06, 1.415007461942015e-06, 7.014932612928756e-07, 5.120057206899848e-07, 3.395979710555186e-07, 1.6949034592954735e-07, 1.2787118288376e-07, 5.7219729624635337e-08, 2.7625309158956076e-08, 8.502079515281104e-09, 5.435258281892179e-09, 4.279179874397489e-09, 2.7686640905434544e-09, 1.4091039603872478e-09, 9.144562174430446e-10, 4.2668433771705117e-10, 2.6586882264741187e-10, 1.3321553135233832e-10, 5.7782962630254393e-11, 3.08409296027638e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[736.262451171875, 641.6849365234375, 642.7415161132812, 641.515380859375, 641.5131225585938, 641.6392822265625, 641.779296875, 641.6223754882812, 647.2453002929688, 641.57958984375]",[572.5606689453125],[1284.080322265625],[4293.83740234375],[106.74614715576172],[76.20223999023438],
2025-12-11T12:30:23.719388+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S11,S11,S10,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,3.854375546641175e-11,"{'iterations': 60, 'residual norms': [0.05415558022970685, 9.69823946864596, 8.499930795173741, 8.239833237893547, 4.028685862601004, 0.9230664442486761, 0.37343338929115244, 0.1335010780659251, 0.04807603314795504, 0.034014638450415205, 0.02421675630968832, 0.009078517910727888, 0.008638422127014987, 0.005878524196580372, 0.0072122316405722935, 0.00255411088050769, 0.001513083087314411, 0.0014303999851124842, 0.0010080830067735799, 0.000307855297027066, 0.0001788178608791311, 0.00015821717167057776, 0.00013231060259913282, 8.562583434172675e-05, 6.015656653102415e-05, 4.638464819741536e-05, 2.2827018185908783e-05, 1.4970812242805942e-05, 1.1138033110972242e-05, 6.53667019933176e-06, 3.5652575063472642e-06, 2.4595605698193758e-06, 2.348409127256941e-06, 1.6150061039337444e-06, 1.1514728572994003e-06, 7.908294599845404e-07, 5.004795018425388e-07, 3.1116882364406783e-07, 2.1815319900160898e-07, 1.651123890853861e-07, 8.754661766464241e-08, 5.5622733985945145e-08, 3.9178647294169506e-08, 2.8065504570015833e-08, 1.795269508085295e-08, 1.6406392137388172e-08, 1.0942365800739555e-08, 7.0950361847398494e-09, 4.805908009101588e-09, 3.602221296019385e-09, 2.3754604934910028e-09, 1.339196324531337e-09, 8.455364552368498e-10, 5.270161442279997e-10, 3.082294076920612e-10, 2.605427900801561e-10, 2.1108899530087473e-10, 1.6110613863401513e-10, 1.0505382154228759e-10, 6.319515465545282e-11, 3.8313899518803754e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[1131.505615234375, 1026.1708984375, 1026.201416015625, 1026.6375732421875, 1026.6190185546875, 1026.3514404296875, 1026.8809814453125, 1026.656982421875, 1026.500732421875, 1026.8912353515625]",[560.8489379882812],[1384.928466796875],[3642.775390625],[21.744064331054688],[23.384319305419922],
2025-12-11T12:30:37.885347+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S11,S11,S10,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,3.8602767582778206e-11,"{'iterations': 45, 'residual norms': [9.698359608000347, 9.262554632556665, 6.2825407025060676, 1.8990512733843132, 0.6708638769365874, 0.30816119991533786, 0.15901655929009473, 0.0914753615214845, 0.024749495189413658, 0.016845630971381552, 0.008335002723142481, 0.009743208028303882, 0.0028224935587998707, 0.0010181030833141637, 0.001197700687162784, 0.0004910080163157617, 0.0001806927450698996, 0.00010584666745777201, 7.03545730695919e-05, 3.04459945446359e-05, 2.01703128274555e-05, 1.0901925139432944e-05, 7.320802413145468e-06, 4.89754823509551e-06, 3.8176493455351345e-06, 2.5735699621974534e-06, 1.2807457604290693e-06, 6.860331217802355e-07, 3.0129406310214576e-07, 1.3620424762037407e-07, 7.805619942606029e-08, 4.7264303019064805e-08, 2.8506210241380168e-08, 1.935310803070111e-08, 1.199062245654804e-08, 7.0450973711504946e-09, 5.17456135730105e-09, 3.59674060367702e-09, 1.9551696734611784e-09, 1.2898346383574572e-09, 8.22520570907745e-10, 4.480008447711545e-10, 2.511831716221724e-10, 1.3617484107559904e-10, 6.892373314323126e-11, 3.8425007953602144e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[798.5834350585938, 719.3637084960938, 713.3464965820312, 713.2708129882812, 714.1112670898438, 713.6112670898438, 713.3148193359375, 713.1784057617188, 713.2861938476562, 713.4967041015625]",[445.06536865234375],[1315.0380859375],[4317.6875],[23.821632385253906],[85.11849975585938],
