datetime,test case,p,mesh family,fine m,solvers m,coarse m,solver,random rhs,solution warmup steps,solution measurement steps,solution repetitions,exception,residual norm,metadata,setup metadata,solve times,matrix and DOF map copy times,matrix permute times,solver setup times,rhs copy and permute times,solution permute and copy times
2025-12-15T17:50:33.273299+00:00,continuous coefficient 3D,2,"uniform(3D,6)",S6,,,"CG(AMGX(L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,Conjugate gradient did not converge in 1200 iterations.,,,,,,,,,
2025-12-15T17:51:03.140311+00:00,continuous coefficient 3D,2,"uniform(3D,6)",S6,,,"CG(AMGX(AGGRESIVE_L1, torch.float32), bsr_matmul=True)",False,0,1,10,,1.26892536309997e-10,"{'iterations': 120, 'residual norms': [0.13749143170292613, 1.2244942407012382, 1.3193893253393625, 1.337017252477844, 1.1841685415104177, 0.9981907052173002, 0.8013085385589848, 0.6358221170375299, 0.5506990803721241, 0.4181775548355386, 0.31634744378280516, 0.23773588764673068, 0.1845090286328725, 0.14442719518746414, 0.10695039185976832, 0.07759371033173339, 0.061697926340048184, 0.05831374199399297, 0.05764995294343011, 0.05056666487420244, 0.03916534708942504, 0.02880249591254728, 0.02207633886064329, 0.018639872996643884, 0.01584510934001537, 0.012812373232940176, 0.009792876045133582, 0.007896390721029463, 0.006742094501112638, 0.005892422079619095, 0.0048143918181716905, 0.00400928076154088, 0.0033353817411784074, 0.002860990413310736, 0.002460574629229347, 0.0020282423480273196, 0.0016096472496676725, 0.0013122949060574078, 0.0011339512328933678, 0.0009811492096660542, 0.0008102941554404707, 0.0006070627718981571, 0.0004688523009972883, 0.00037930944959090203, 0.0003217065000988919, 0.0002582701337554876, 0.00019925970991715726, 0.00015611227156765996, 0.00012728658555118943, 0.00010415560492426924, 8.483022830982971e-05, 7.152311093602881e-05, 6.047949025398594e-05, 5.1731698215297e-05, 4.3413246629550596e-05, 3.718783845016399e-05, 3.154221299194142e-05, 2.6763689226924432e-05, 2.2262540216838234e-05, 1.8171963930602008e-05, 1.4433338868294598e-05, 1.1408906484017306e-05, 9.231099040475018e-06, 7.649644587727376e-06, 6.44406512737985e-06, 5.300514512189077e-06, 4.3010942549577545e-06, 3.4611190978471442e-06, 2.7783178351404602e-06, 2.2123680932430357e-06, 1.7949612701445427e-06, 1.4925631059294925e-06, 1.2483802848976225e-06, 1.032272756768438e-06, 8.425398740293067e-07, 6.951404958372701e-07, 5.839225907363317e-07, 4.980930379503438e-07, 4.2229315067065077e-07, 3.560862090353692e-07, 2.9664529851331837e-07, 2.4168873375910637e-07, 1.9513395139820262e-07, 1.5799581247026537e-07, 1.290569383533832e-07, 1.0646093090942043e-07, 8.860298779976038e-08, 7.362506064064898e-08, 6.091143026357997e-08, 4.987115594453635e-08, 4.0282342496332296e-08, 3.2503393264382004e-08, 2.655341626028085e-08, 2.1980349778295768e-08, 1.8059919482033138e-08, 1.4733225243141541e-08, 1.2081418192290167e-08, 1.0079158053597334e-08, 8.50793892416347e-09, 7.1447953579466205e-09, 5.9339004283712446e-09, 4.942595050998157e-09, 4.1234350183632785e-09, 3.4084778989745652e-09, 2.7869268530243004e-09, 2.2447260124495727e-09, 1.809137105475622e-09, 1.4869040744759161e-09, 1.2462189349041976e-09, 1.0419210571014349e-09, 8.600830047387473e-10, 7.038472242340283e-10, 5.788405736676451e-10, 4.795242109867696e-10, 3.9549216521119066e-10, 3.2378499270905553e-10, 2.666225211438028e-10, 2.2339616068394582e-10, 1.8782462331984682e-10, 1.5581875535808416e-10, 1.2689245298751376e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[2573.181640625, 2480.477294921875, 2474.1328125, 2474.00048828125, 2473.118408203125, 2469.7333984375, 2469.961181640625, 2469.732421875, 2470.16845703125, 2471.106201171875]",[1814.138916015625],[0.022112000733613968],[1240.5997314453125],[15.345919609069824],[32.43532943725586]
2025-12-15T17:51:32.669056+00:00,continuous coefficient 3D,2,"uniform(3D,6)",S6,,,"CG(AMGX(AGGRESSIVE_L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,,1.332298983711779e-10,"{'iterations': 85, 'residual norms': [0.13749143170292613, 1.125946223289388, 1.1785414257187519, 1.0558360123653305, 0.8248499769223943, 0.5919345849913229, 0.47200422145684123, 0.3093154173055988, 0.20823993176452285, 0.14803030571994294, 0.09936021833859214, 0.066716287899721, 0.05523201534937945, 0.05443967522921698, 0.04174992195306773, 0.02671812295322245, 0.018652605374571633, 0.015046675873684294, 0.011052531441264142, 0.0077616580753683126, 0.006241826096637788, 0.005076205824535588, 0.0038635318806116673, 0.0030378708175063315, 0.0024110559300931918, 0.0018823562370092666, 0.001363301148257775, 0.0010724922810686317, 0.0008774631667138981, 0.000620955421283244, 0.0004223223024482569, 0.0003228092376726444, 0.00024353774383835985, 0.0001700118036532755, 0.00012199422899549578, 9.402579902494835e-05, 7.196627558753228e-05, 5.6882761888447366e-05, 4.567038639517147e-05, 3.604477353646173e-05, 2.865714040714986e-05, 2.2555771456907602e-05, 1.6650842488621203e-05, 1.2005864467866378e-05, 8.777528688068927e-06, 6.7674215296616245e-06, 5.382165154624471e-06, 4.0270954407858496e-06, 2.9396537722433903e-06, 2.179480185576256e-06, 1.6126760280344144e-06, 1.2555653533988552e-06, 9.6671201774928e-07, 7.206486669535295e-07, 5.572998712159842e-07, 4.4305791843190614e-07, 3.490681912705376e-07, 2.66516148872834e-07, 1.9750168068100734e-07, 1.460641525651582e-07, 1.111217130620444e-07, 8.662271218269946e-08, 6.80438244223563e-08, 5.227799120958458e-08, 3.9167301463753234e-08, 2.9157569702668345e-08, 2.2167587428503533e-08, 1.6904525240169703e-08, 1.2540357575481735e-08, 9.522352560464703e-09, 7.445495516552325e-09, 5.73395301271256e-09, 4.350907873996397e-09, 3.3311246023550144e-09, 2.524971077186342e-09, 1.865747575040023e-09, 1.4103085984518953e-09, 1.1108193248187235e-09, 8.788541317909907e-10, 6.682323982568838e-10, 5.077237789472195e-10, 3.92067017789375e-10, 3.0063833256043213e-10, 2.2877429329205175e-10, 1.7626469158397185e-10, 1.3322988169876792e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[2602.355224609375, 2508.54150390625, 2506.38671875, 2503.451171875, 2501.77099609375, 2502.11083984375, 2502.062255859375, 2502.552978515625, 2502.28369140625, 2505.727294921875]",[1102.5177001953125],[0.015647999942302704],[1244.8099365234375],[11.962400436401367],[32.571041107177734]
2025-12-15T17:51:59.478598+00:00,continuous coefficient 3D,2,"uniform(3D,6)",S6,,,"CG(AMGX(AGGRESSIVE_CHEB_L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,,1.0019799290610774e-10,"{'iterations': 49, 'residual norms': [0.13749143170292613, 0.6569551167688723, 0.44448126628302415, 0.30738950946745985, 0.1509462658052466, 0.09917774673624642, 0.0777413980765408, 0.05005879426948152, 0.024683164537227322, 0.015234855532512694, 0.009275695409671481, 0.004657570282464346, 0.003569668590726014, 0.0020514834134802767, 0.0013678653524155143, 0.0008037502428062887, 0.0005101823695509688, 0.00028817671871994295, 0.00019729321713816828, 0.00011388964121847162, 6.71739745263337e-05, 4.3489777193736224e-05, 2.4445477807085785e-05, 1.9042719951863115e-05, 1.3052884147372856e-05, 6.2199928529286705e-06, 3.7601667839168673e-06, 2.77241410820778e-06, 1.591100501831699e-06, 1.1250136817515071e-06, 6.815019530451566e-07, 4.2585139831934673e-07, 3.0081599475678624e-07, 1.8154401047597985e-07, 1.0028954081144895e-07, 6.52519547627126e-08, 4.1632114843309875e-08, 2.704559159462863e-08, 1.9029657457090757e-08, 1.1555520659701612e-08, 7.102218175359486e-09, 4.550033777315903e-09, 2.4235409906183516e-09, 1.6446507451693688e-09, 1.0338394317438905e-09, 7.343403976434287e-10, 5.127860901054262e-10, 2.9131636812057445e-10, 1.4737788146014594e-10, 1.0019787056505898e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[2332.488037109375, 2229.3251953125, 2230.0537109375, 2230.47998046875, 2232.238525390625, 2232.684326171875, 2231.812744140625, 2234.27294921875, 2231.158935546875, 2231.212646484375]",[1147.41552734375],[0.01817600056529045],[1245.4283447265625],[15.36137580871582],[32.6893424987793]
2025-12-15T17:54:28.259609+00:00,continuous coefficient 3D,2,"uniform(3D,6)",S6,,,CUDSS,False,0,1,10,CUDSS error: 2 at /root/dd-solvers/src/dd_solvers/cpp/cudss.cpp:100,,,,,,,,,
