datetime,test case,p,mesh family,fine m,solvers m,coarse m,solver,random rhs,solution warmup steps,solution measurement steps,solution repetitions,exception,residual norm,metadata,setup metadata,solve times,matrix and DOF map copy times,matrix permute times,solver setup times,rhs copy and permute times,solution permute and copy times
2025-12-15T18:15:41.629731+00:00,continuous coefficient 3D,1,"uniform(3D,7)",S7,,,"CG(AMGX(L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,Conjugate gradient did not converge in 1200 iterations.,,,,,,,,,
2025-12-15T18:16:13.083022+00:00,continuous coefficient 3D,1,"uniform(3D,7)",S7,,,"CG(AMGX(AGGRESIVE_L1, torch.float32), bsr_matmul=True)",False,0,1,10,,3.612740071209666e-11,"{'iterations': 70, 'residual norms': [0.04854603265818175, 0.6725450688261799, 0.535607931906076, 0.5247749800274143, 0.49405010369935015, 0.3561313495246901, 0.21951202521456306, 0.1306367120129753, 0.0710983231955626, 0.03716340982823038, 0.02258702393238932, 0.017289888549495314, 0.015327495361704599, 0.012479556114291697, 0.008606142130818223, 0.005738516884593995, 0.003976878516162324, 0.0026365251572737117, 0.0016553898725843214, 0.0011087353939287965, 0.0008277804423436124, 0.0006235691489062176, 0.0004538056568215402, 0.00033052573120146176, 0.00025469651795536404, 0.00019277287965766164, 0.0001350392241579631, 9.074920765710543e-05, 5.9427664874617167e-05, 3.97124610819218e-05, 2.690887355803336e-05, 1.7893972073680467e-05, 1.2309876300609757e-05, 9.388565150219692e-06, 7.3972554461038715e-06, 5.432724019983343e-06, 3.8621435349515056e-06, 2.8312905657445736e-06, 2.0995221947048447e-06, 1.4674442998137285e-06, 9.601362556205667e-07, 6.284335673289991e-07, 4.315097878115173e-07, 3.0674403873600275e-07, 2.2084069647566013e-07, 1.5939877247643624e-07, 1.1662912573905394e-07, 8.789682085830236e-08, 6.536255132941119e-08, 4.6497152692928694e-08, 3.277228928899983e-08, 2.2989837173129138e-08, 1.5609205036844554e-08, 1.0422092062469795e-08, 7.120928174814145e-09, 5.144018544134812e-09, 3.821702868644647e-09, 2.82543158240977e-09, 2.0748575848272705e-09, 1.5203970177125112e-09, 1.1034140548372816e-09, 7.832465631132574e-10, 5.326374435179701e-10, 3.565453371114673e-10, 2.45716502324887e-10, 1.7174685958036939e-10, 1.212902194977975e-10, 8.803639581708537e-11, 6.609901950253563e-11, 4.969386109907378e-11, 3.612739100028395e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[2407.5869140625, 2308.075927734375, 2308.00830078125, 2310.242431640625, 2309.230712890625, 2310.172607421875, 2308.100341796875, 2309.1455078125, 2308.064208984375, 2307.943359375]",[2538.906982421875],[0.014175999909639359],[2955.322021484375],[118.18077087402344],[112.63849639892578]
2025-12-15T18:16:44.474525+00:00,continuous coefficient 3D,1,"uniform(3D,7)",S7,,,"CG(AMGX(AGGRESSIVE_L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,,4.175830434203125e-11,"{'iterations': 52, 'residual norms': [0.04854603265818175, 0.5673272181127471, 0.472785206621048, 0.4433311417219881, 0.25820607145379465, 0.12490577425936485, 0.0530532774863593, 0.02416690104408155, 0.017957414332192514, 0.015252583459468637, 0.009184987461764167, 0.004927418494102293, 0.0028636398983371857, 0.0016054564887588725, 0.001064604416240631, 0.0007902455663434789, 0.00051955698433174, 0.0003379452673491019, 0.00021850526133713091, 0.00012224734417454926, 6.899200474831134e-05, 4.208250550851375e-05, 2.7376169740452115e-05, 1.8807758438131504e-05, 1.4012290123188363e-05, 8.703143976195349e-06, 5.0329740891364505e-06, 3.1565700467364536e-06, 1.875233444768176e-06, 1.1032261516193445e-06, 7.486242267099495e-07, 5.340255698511711e-07, 3.543790411264334e-07, 2.26568165890552e-07, 1.4108979745532265e-07, 8.37736482102938e-08, 5.139284584518452e-08, 3.346609664494834e-08, 2.1926818322732126e-08, 1.5404809472244982e-08, 1.0190883117421528e-08, 6.0724576843198775e-09, 3.633384273526513e-09, 2.2564585096218607e-09, 1.4292550009594569e-09, 9.546985169373289e-10, 6.695266238280356e-10, 4.391975789128621e-10, 2.696985388496219e-10, 1.6342557797087375e-10, 9.661523292850452e-11, 6.148587489053689e-11, 4.1758296555308665e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[2496.060546875, 2398.398193359375, 2398.430419921875, 2401.76220703125, 2398.539794921875, 2398.6728515625, 2398.8564453125, 2398.526611328125, 2398.614501953125, 2400.5048828125]",[1593.327880859375],[0.013472000136971474],[2984.781005859375],[38.41401672363281],[116.69750213623047]
2025-12-15T18:17:17.277707+00:00,continuous coefficient 3D,1,"uniform(3D,7)",S7,,,"CG(AMGX(AGGRESSIVE_CHEB_L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,,4.800100751534672e-11,"{'iterations': 35, 'residual norms': [0.04854603265818175, 0.2827909582402594, 0.11128068322133627, 0.0415985846179132, 0.037817506285629965, 0.016189889846387126, 0.007842908154649221, 0.0034941025482622535, 0.0016363554249751006, 0.0006599166204866878, 0.0002574541543731202, 0.00018888675168981335, 8.068629093001121e-05, 2.9248631092404e-05, 1.8110501612644455e-05, 1.3103424879810284e-05, 4.251802063537898e-06, 2.7882701108319586e-06, 2.2758195259306307e-06, 8.709810665443088e-07, 4.801175779739131e-07, 3.1338018264039205e-07, 1.7608897166329618e-07, 7.68691197189932e-08, 3.788007600706889e-08, 2.380954349278939e-08, 1.3233154650335662e-08, 5.8783528253847376e-09, 3.309698225396478e-09, 2.064727915041929e-09, 1.016472400914869e-09, 5.132527820331718e-10, 3.381132702050911e-10, 1.7973056940692457e-10, 8.445308723377151e-11, 4.8000997297758385e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[2645.398193359375, 2543.87255859375, 2545.697021484375, 2547.828125, 2545.25439453125, 2544.08740234375, 2543.9951171875, 2545.1572265625, 2544.0751953125, 2543.75439453125]",[1691.6640625],[0.01724799908697605],[2901.42431640625],[41.68668746948242],[114.72281646728516]
