datetime,test case,p,mesh family,fine m,solvers m,coarse m,solver,random rhs,solution warmup steps,solution measurement steps,solution repetitions,residual norm,metadata,setup metadata,solve times,matrix and DOF map copy times,matrix permute times,solver setup times,rhs copy and permute times,solution permute and copy times,exception
2025-12-16T10:43:26.348948+00:00,continuous coefficient 2D,1,unstructured(1000),F,,,"CG(AMGX(L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,4.586862115201184e-11,"{'iterations': 39, 'residual norms': [0.05160704681436116, 6.131112813119098, 3.4755272193666635, 1.624072670578442, 0.6915746488042842, 0.2860714624547495, 0.1271178609715727, 0.05643019212024179, 0.02383354209185983, 0.010143026193458644, 0.004544534168735887, 0.0020099585151022027, 0.0008784901207593123, 0.0004151958961294211, 0.0002259799343326647, 0.0001400562063966759, 9.29268933427343e-05, 5.8625700901913855e-05, 3.3695219788471076e-05, 1.94038121314081e-05, 1.2065202187753894e-05, 7.609036494141478e-06, 4.3158152920844986e-06, 2.1929258172412445e-06, 1.0446148923999003e-06, 4.88922891183175e-07, 2.3700448932110188e-07, 1.227513702244507e-07, 6.61634993022327e-08, 3.5916181958101364e-08, 1.9115371859569487e-08, 9.781673115211057e-09, 4.910078969391772e-09, 2.5277459781097024e-09, 1.339013967546087e-09, 7.091786617399491e-10, 3.6893598313108836e-10, 1.875229395868696e-10, 9.287144509050337e-11, 4.572118860406849e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[4269.3447265625, 717.9619140625, 716.298095703125, 719.1246337890625, 715.1746826171875, 716.6719970703125, 716.2530517578125, 718.8726196289062, 714.6097412109375, 715.5928955078125]",[219.83602905273438],[0.015744000673294067],[1659.9149169921875],[24.118207931518555],[12.501119613647461],
2025-12-16T10:43:37.438015+00:00,continuous coefficient 2D,1,unstructured(1000),F,,,"CG(AMGX(AGGRESIVE_L1, torch.float32), bsr_matmul=True)",False,0,1,10,5.146705560220483e-11,"{'iterations': 63, 'residual norms': [0.05160704681436116, 9.098219681859138, 8.371155024900002, 5.278822832859475, 2.5558893332164008, 1.432818355141096, 1.1436100451744995, 0.808373250487663, 0.41971249603456695, 0.3228954592877443, 0.2047297001639594, 0.11926590747121767, 0.0875833606431753, 0.05746887405263269, 0.034726789677738935, 0.022636053132885876, 0.016193249171771784, 0.00977968145212382, 0.00620100120360853, 0.004431562455477963, 0.002786681233690713, 0.0017308657972681643, 0.0011824460623098925, 0.0008173449784015775, 0.0004845591742087765, 0.000322139617214523, 0.00022864125592201608, 0.0001371788355429761, 9.045807639495248e-05, 6.256866675517908e-05, 3.995318432527108e-05, 2.53733421591367e-05, 1.726368754015542e-05, 1.1517045112003598e-05, 7.142426720202209e-06, 4.8897728561746954e-06, 3.2625148957200958e-06, 2.059019282822436e-06, 1.3846436034522956e-06, 9.326452455848487e-07, 6.031084595364277e-07, 3.930540244122167e-07, 2.7121966825951044e-07, 1.744745180802015e-07, 1.1401115240452148e-07, 7.811621175210265e-08, 5.0803786567977044e-08, 3.3636076697201443e-08, 2.2411457705522466e-08, 1.505109457927969e-08, 9.810849230559198e-09, 6.5701921786144905e-09, 4.441767075767157e-09, 2.881546414734915e-09, 1.9529946492401657e-09, 1.2966862464253074e-09, 8.643732657870193e-10, 5.75484049563742e-10, 3.8604546754689535e-10, 2.5828430612957635e-10, 1.7033926714985465e-10, 1.1551992219811658e-10, 7.64031470675259e-11, 5.127120411672802e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[988.1534423828125, 866.010009765625, 862.6361083984375, 869.23291015625, 870.6431884765625, 862.0986938476562, 869.6464233398438, 872.5457153320312, 861.2659912109375, 863.9717407226562]",[386.177001953125],[0.015615999698638916],[1166.80029296875],[14.564672470092773],[18.842111587524414],
2025-12-16T10:43:48.934934+00:00,continuous coefficient 2D,1,unstructured(1000),F,,,"CG(AMGX(AGGRESSIVE_L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,4.4888907785160763e-11,"{'iterations': 48, 'residual norms': [0.05160704681436116, 8.310137101753037, 5.616531231461654, 2.1007143887267072, 1.148019153212272, 0.858497471396909, 0.39919588781442655, 0.28412364226183995, 0.13457455503721016, 0.09236101087817895, 0.04637654777242924, 0.029727950854579372, 0.017176590758970017, 0.009495034459513945, 0.006177205015027272, 0.003219507630672338, 0.002061429636647609, 0.0011305658428540483, 0.0006500039620282174, 0.00039402612242228413, 0.00021153026282866807, 0.00013366890891367973, 7.188398358982453e-05, 4.425365348550064e-05, 2.4926427755649578e-05, 1.4224093421453715e-05, 8.45278390426662e-06, 4.627715916073456e-06, 2.8070501065287474e-06, 1.5453056681001486e-06, 9.308889304894562e-07, 5.257519047865803e-07, 3.0447421710825004e-07, 1.7824518924318971e-07, 9.99485535599348e-08, 5.927603698069354e-08, 3.29692631527949e-08, 1.9466620095234905e-08, 1.1097907746634337e-08, 6.405775005399687e-09, 3.731617430169742e-09, 2.120684983821268e-09, 1.2438175201232018e-09, 7.009896428276194e-10, 4.1029963498731704e-10, 2.335741675247627e-10, 1.35131160515918e-10, 7.789943713915534e-11, 4.471202094977212e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[1019.7423706054688, 910.755859375, 908.0735473632812, 914.0205688476562, 910.8659057617188, 909.0879516601562, 911.8916015625, 910.24072265625, 908.0964965820312, 908.9596557617188]",[420.0848693847656],[0.015296000055968761],[1154.1727294921875],[14.43222427368164],[21.593183517456055],
2025-12-16T10:44:02.646504+00:00,continuous coefficient 2D,1,unstructured(1000),F,,,"CG(AMGX(AGGRESSIVE_CHEB_L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,3.3548413092203184e-11,"{'iterations': 37, 'residual norms': [0.05160704681436116, 1.6816045157958917, 0.8739561126330342, 0.4595545245601679, 0.21546250794480634, 0.12024590109360873, 0.06488202185008471, 0.029758722273275934, 0.011941469288266775, 0.0057453604611837576, 0.0031695840439808103, 0.0019705161992420992, 0.0009512470422196177, 0.0004233249306448761, 0.00019804633463000392, 9.642088938771518e-05, 5.431886951473403e-05, 2.9643333527527083e-05, 1.4036970768420234e-05, 6.6750041192798324e-06, 3.065168163472858e-06, 1.637570550945471e-06, 8.331985140651877e-07, 4.017694096869284e-07, 2.10278322489576e-07, 1.0485132261355258e-07, 5.193626632098087e-08, 2.5951394557846514e-08, 1.3247974747093175e-08, 7.396370860794161e-09, 3.588218968091525e-09, 1.7238855412444131e-09, 9.123266651667489e-10, 4.396291780326475e-10, 2.3817465308684454e-10, 1.2099799685485355e-10, 6.204108838358083e-11, 3.3350994966433003e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[1239.76611328125, 1134.2230224609375, 1126.32421875, 1126.8902587890625, 1123.435546875, 1129.853515625, 1126.286865234375, 1127.29736328125, 1126.775390625, 1127.1092529296875]",[447.3221130371094],[0.015072000212967396],[1158.6392822265625],[15.141759872436523],[12.191167831420898],
2025-12-16T10:44:24.965209+00:00,continuous coefficient 2D,1,unstructured(1000),F,C,C,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,3.9110695762175424e-11,"{'iterations': 61, 'residual norms': [0.05160704681436116, 9.427518737614554, 8.804171253034148, 1.1921428484101093, 0.6650455323775037, 0.31071253377854663, 0.08805846652606633, 0.03629895054465763, 0.02888839250952878, 0.029686942924987955, 0.020303685041419436, 0.012481122246215651, 0.005119936750573636, 0.004365101979867069, 0.002765720222214746, 0.0019445581729227025, 0.001509090064614654, 0.0009200754051863956, 0.0005782423615108952, 0.0003557050096764029, 0.0002770266591441703, 0.00022188615546277446, 0.000136523088896202, 8.762365304293338e-05, 6.056408796173074e-05, 4.3874639676905474e-05, 3.186938824452861e-05, 1.9630707317679243e-05, 1.2983840918535832e-05, 8.497336391031956e-06, 5.740860850362581e-06, 4.190335552637956e-06, 2.9944670787601537e-06, 2.0852447644896364e-06, 1.1898329787125682e-06, 7.044020604327494e-07, 5.118231140485264e-07, 3.8248208405268054e-07, 2.892648242758457e-07, 1.7544356367781225e-07, 1.0607149740768404e-07, 7.491126778848474e-08, 4.886617396702498e-08, 3.5448681828830205e-08, 2.6423510679145513e-08, 1.8383428676080285e-08, 1.2019953967108025e-08, 7.310876129428244e-09, 5.03912724498434e-09, 3.718818183762044e-09, 2.443326060614614e-09, 1.670228735840369e-09, 1.1242173576369879e-09, 8.110246911888903e-10, 5.739390344266544e-10, 3.586423610144228e-10, 2.4354834607082115e-10, 1.568643190748381e-10, 1.1320845291971633e-10, 8.24066781186246e-11, 5.856527152048911e-11, 3.885771127224336e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[3423.66357421875, 1138.7596435546875, 1140.8037109375, 1139.3856201171875, 1138.8973388671875, 1138.209228515625, 1140.37109375, 1139.128662109375, 1137.8624267578125, 1138.604736328125]",[435.9947509765625],[1523.565185546875],[6036.9697265625],[19.53215980529785],[12.78831958770752],
2025-12-16T10:44:41.560153+00:00,continuous coefficient 2D,1,unstructured(1000),F,C,C,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,4.210816276329403e-11,"{'iterations': 38, 'residual norms': [9.42745956719591, 8.799660442148339, 0.7714470381226426, 0.26032410496701797, 0.04878634238949226, 0.025578089583666697, 0.02022241904526125, 0.010515663996367422, 0.0037656980939783373, 0.0018818293317394749, 0.0009436618935013266, 0.0005304183997825513, 0.00034201027771374, 0.00018568881428682066, 7.850629115048741e-05, 5.0979503449387316e-05, 2.8886290236557858e-05, 1.4136800292986843e-05, 7.142924900173526e-06, 4.542448813607804e-06, 2.6165502361630987e-06, 1.3329010637415942e-06, 7.454583248085812e-07, 3.1183320174202053e-07, 2.0194136378888857e-07, 1.2267511185697847e-07, 5.8768800224511096e-08, 2.7599565166164153e-08, 1.5620433718571063e-08, 9.968909488813913e-09, 5.682128981079467e-09, 3.071605570396983e-09, 1.6685213289729356e-09, 8.273234100361571e-10, 4.5968017942476044e-10, 2.530569994726776e-10, 1.3525593820978482e-10, 7.959832706854931e-11, 4.195314310579198e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[872.9376220703125, 686.5474853515625, 686.3967895507812, 685.4533081054688, 684.7564086914062, 685.1707153320312, 684.5928344726562, 685.5465698242188, 684.0982666015625, 686.7749633789062]",[496.3862609863281],[1517.9376220703125],[6836.85009765625],[17.652000427246094],[13.038816452026367],
2025-12-16T10:45:04.875874+00:00,continuous coefficient 2D,1,unstructured(1000),F,F,C,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,4.9124792179987426e-11,"{'iterations': 63, 'residual norms': [0.05160704681436116, 9.427513032290243, 9.593802746934578, 0.997505188381006, 0.7582706163786623, 0.23420219925597185, 0.06905754926867848, 0.047798890175550696, 0.03708082408818977, 0.02689414879720614, 0.019468897863594105, 0.014022985479866534, 0.011811438586844965, 0.007264020348560548, 0.003929869344753479, 0.0030548044047266874, 0.0019347676414997032, 0.0012133674789000315, 0.0008729890438063733, 0.0006902678037670633, 0.00044646190901326006, 0.0002844181508853683, 0.00019400482458993952, 0.00013776498267551243, 9.518697026264221e-05, 6.67977133232093e-05, 5.036035009679527e-05, 3.561699548390254e-05, 2.3169382762856015e-05, 1.3975266714012207e-05, 9.908247508369374e-06, 6.683201826687243e-06, 4.614796776935265e-06, 3.227058089510217e-06, 2.3804395910493353e-06, 1.6270577234934913e-06, 1.0403325508697562e-06, 6.628505508994865e-07, 4.7504293093996446e-07, 3.396845061735632e-07, 2.2961091184770917e-07, 1.6691126474112192e-07, 1.242782565669037e-07, 7.810533992875583e-08, 5.311278587964779e-08, 3.6460643627852015e-08, 2.698239747792398e-08, 1.8584532711000214e-08, 1.3377810513882671e-08, 9.69028338108538e-09, 6.272649049402575e-09, 4.229373247927122e-09, 2.854211618875532e-09, 2.05586826099301e-09, 1.4000257073292014e-09, 9.52004592993114e-10, 6.72937915812494e-10, 4.772847890764188e-10, 3.2250862115878694e-10, 2.0562142120769652e-10, 1.4678447371367122e-10, 1.029595889067928e-10, 7.249646554723554e-11, 4.8917796515385283e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[4232.87646484375, 1186.4990234375, 1180.354248046875, 1179.865966796875, 1182.11962890625, 1180.0787353515625, 1179.8968505859375, 1180.9970703125, 1178.9010009765625, 1178.6044921875]",[560.6296997070312],[1636.930419921875],[5540.18505859375],[15.447775840759277],[12.746623992919922],
2025-12-16T10:45:22.740495+00:00,continuous coefficient 2D,1,unstructured(1000),F,F,C,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,3.8153209202721356e-11,"{'iterations': 49, 'residual norms': [9.427459567195907, 9.592662144972605, 0.8018851234309147, 0.3337252429239139, 0.07347112437123292, 0.03672235468981877, 0.02658837095431537, 0.019232938752750967, 0.01085682491142009, 0.007230116681301069, 0.0035675083731136104, 0.001458950522607813, 0.001111173456098438, 0.0006729500521685943, 0.00045834114728432967, 0.0003431911026872687, 0.00021935544380784837, 0.00012129423420914972, 9.50509468593534e-05, 6.0905150936544574e-05, 3.8675261218167144e-05, 2.2614660971597446e-05, 1.3121281827819806e-05, 7.509962993722252e-06, 4.950426977429826e-06, 3.321114365637817e-06, 1.9341617899099538e-06, 1.1054249411087302e-06, 6.949978222647538e-07, 4.495298834254265e-07, 2.722893787459637e-07, 1.8390833477606644e-07, 1.0488344860769892e-07, 6.199123787396795e-08, 3.999410928969585e-08, 2.7590080433860374e-08, 1.822922583362853e-08, 1.2158841293738152e-08, 7.49063860020154e-09, 4.658512067345965e-09, 3.2430765294791004e-09, 2.1360347885168082e-09, 1.293773062777721e-09, 8.148440823801522e-10, 5.248414973606399e-10, 3.035798573114109e-10, 1.9583376017127342e-10, 1.174849582500743e-10, 6.748019883634702e-11, 3.7939684952043835e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[1234.1116943359375, 866.32470703125, 865.6563110351562, 867.2680053710938, 865.631591796875, 867.500244140625, 867.8790893554688, 867.8734130859375, 868.8243408203125, 869.8109130859375]",[408.9510803222656],[1591.6734619140625],[6134.51171875],[15.928671836853027],[12.492480278015137],
2025-12-16T10:46:16.874183+00:00,continuous coefficient 2D,1,unstructured(1000),F,F,F,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,4.054667556376678e-11,"{'iterations': 58, 'residual norms': [0.05160704681436116, 7.179123770085885, 0.5256999999286254, 0.2189389213752484, 0.10277838546647877, 0.051147710552248364, 0.027875751940934362, 0.014714405558269805, 0.012110561701213716, 0.008537696607083721, 0.00540100776190967, 0.003366869372748359, 0.0024039088090138314, 0.001859362739039209, 0.0012795600588003304, 0.0010432816825401117, 0.00066485344182466, 0.0004651784647002871, 0.000350815774422504, 0.0002498010181563927, 0.00014219362665413167, 0.0001000105415756109, 6.866989913130907e-05, 5.004226472573929e-05, 3.5415377855337865e-05, 2.4018412502380987e-05, 1.6315234139976178e-05, 1.0399832141767453e-05, 7.120928856281418e-06, 4.604795677183958e-06, 3.1083200002781987e-06, 1.895060428183116e-06, 1.1980636223197168e-06, 8.455901666129572e-07, 5.769283003812549e-07, 4.1156460186648525e-07, 2.833230408712716e-07, 2.0255310251980903e-07, 1.368140863967413e-07, 9.955325554645946e-08, 6.782711029414789e-08, 4.628319392776453e-08, 3.363983795451025e-08, 2.4134078341424775e-08, 1.769862283895809e-08, 1.2739926190518163e-08, 8.903312468948013e-09, 6.036765941247219e-09, 3.9502733180828325e-09, 2.418800120071361e-09, 1.5508211295847079e-09, 9.620578288991191e-10, 6.023797690234122e-10, 3.7178316212129056e-10, 2.377052471889312e-10, 1.5004666690216814e-10, 9.43361981280605e-11, 6.218864621444104e-11, 4.0310716361593036e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[4930.44921875, 3378.64990234375, 3380.16796875, 3378.833251953125, 3381.680908203125, 3381.5322265625, 3378.639892578125, 3381.223876953125, 3380.010986328125, 3383.949462890625]",[552.09521484375],[1641.31787109375],[15821.4921875],[14.988832473754883],[12.566656112670898],
2025-12-16T10:46:56.161877+00:00,continuous coefficient 2D,1,unstructured(1000),F,F,F,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,4.998688225228989e-11,"{'iterations': 42, 'residual norms': [7.179082428554401, 0.3376846966591824, 0.09872157054420863, 0.03492919873928219, 0.0173663599715887, 0.01192994738711617, 0.0065139824195263795, 0.0033429684735113247, 0.002095981785726502, 0.0015527773751835621, 0.0011184919307939182, 0.0005516754600615494, 0.00032615517124102896, 0.00020898676010208, 0.00013088039693521337, 8.346963254197593e-05, 5.267029792867741e-05, 3.084046739199779e-05, 1.6712348627088934e-05, 9.086050449887968e-06, 4.990930963592789e-06, 2.9674767652881274e-06, 1.7441814228129048e-06, 1.095145507759273e-06, 6.781167824746297e-07, 4.2147776578900995e-07, 2.36969404743122e-07, 1.4129134664297128e-07, 8.793283344231592e-08, 5.9345748858225263e-08, 4.010920992739264e-08, 2.6754953635828606e-08, 1.633346242991636e-08, 9.169994126778292e-09, 4.90392460239972e-09, 2.5587377191922875e-09, 1.3118205792315377e-09, 6.832905955457039e-10, 3.723485996933752e-10, 2.0718919330052033e-10, 1.206830884781211e-10, 7.69304085570772e-11, 4.9845410092973454e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[2232.67333984375, 2111.703369140625, 2113.3056640625, 2111.232666015625, 2113.08544921875, 2110.34130859375, 2113.87451171875, 2112.061279296875, 2108.973876953125, 2109.19677734375]",[426.0417175292969],[1675.401611328125],[15198.4697265625],[14.73635196685791],[14.587583541870117],
