n,N,NN,overlap_n,preconditioner,solver,coefficient,coefficient_param,residual norm,iterations,condition number
32,32,16,0,Multiplicative Symmetric,CG,continuous,,3.7032502048507046e-07,25,8.062833450955258
32,32,16,0,Multiplicative,GMRES,continuous,,2.951252523953452e-07,37,
32,32,16,0,Hybrid,GMRES,continuous,,3.4086391643849806e-07,38,
32,32,16,0,Hybrid,CG,continuous,,4.0229454010051543e-07,37,15.98483824705154
32,32,16,0,Additive,GMRES,constant,,3.592134209324804e-07,57,
32,32,16,0,Additive,CG,constant,,4.0034322541690104e-07,55,35.226569394088095
32,32,16,0,Multiplicative Symmetric,GMRES,constant,,4.3626890604885837e-07,25,
32,32,16,0,Multiplicative Symmetric,CG,constant,,2.2795625408061726e-07,26,8.340948635627115
32,32,16,0,Multiplicative,GMRES,constant,,3.691957665096988e-07,37,
32,32,16,0,Hybrid,GMRES,constant,,8.157697476856273e-08,42,
32,32,16,0,Hybrid,CG,constant,,3.0107478552573347e-07,38,16.42481397691259
32,32,16,0,Additive,GMRES,coarse checkerboard,1000000.0,2.430676401660465e-08,63,
32,32,16,0,Additive,CG,coarse checkerboard,1000000.0,4.0631864644144023e-07,45,17.01305025762479
32,32,16,0,Multiplicative Symmetric,GMRES,coarse checkerboard,1000000.0,1.5148531068908247e-07,22,
32,32,16,0,Multiplicative Symmetric,CG,coarse checkerboard,1000000.0,2.0159600587972042e-07,22,4.612575220388274
32,32,16,0,Multiplicative,GMRES,coarse checkerboard,1000000.0,2.7628043109618897e-07,23,
32,32,16,0,Hybrid,GMRES,coarse checkerboard,1000000.0,2.8767167765737907e-07,40,
32,32,16,0,Hybrid,CG,coarse checkerboard,1000000.0,4.2655376131170394e-07,33,9.898629996911124
32,32,16,0,Additive,GMRES,solvers checkerboard,1000000.0,2.755298647611469e-07,86,
32,32,16,0,Additive,CG,solvers checkerboard,1000000.0,3.05596125364071e-07,53,31.577516126249265
32,32,16,0,Multiplicative Symmetric,GMRES,solvers checkerboard,1000000.0,4.44122470212567e-07,22,
32,32,16,0,Multiplicative Symmetric,CG,solvers checkerboard,1000000.0,3.1387805934365175e-07,23,6.898163511997528
32,32,16,0,Multiplicative,GMRES,solvers checkerboard,1000000.0,2.5053820837567857e-07,32,
